"vehicle_local_position->x_x","vehicle_local_position->x_y","vehicle_local_position->z_x","vehicle_local_position->z_y"
390.282,0.6376441121,390.282,-0.9998580217,
390.382,0.7268447876,390.382,-1.001481652,
390.482,0.8133078218,390.482,-1.001627088,
390.582,0.89026618,390.582,-1.001050472,
390.682,0.95629704,390.682,-0.9992936254,
390.782,1.011160851,390.782,-0.9971760511,
390.882,1.057933807,390.882,-0.9942792058,
390.982,1.091691494,390.982,-0.9913006425,
391.082,1.113289475,391.082,-0.9890195131,
391.182,1.124259591,391.182,-0.9862943888,
391.282,1.130074978,391.282,-0.9842110872,
391.382,1.12691021,391.382,-0.9844918847,
391.482,1.116705537,391.482,-0.9840749502,
391.582,1.101641893,391.582,-0.9841434956,
391.682,1.087378263,391.682,-0.9830726385,
391.782,1.069566369,391.782,-0.9828263521,
391.882,1.049994469,391.882,-0.9828930497,
391.982,1.03077209,391.982,-0.9836243987,
392.082,1.016779542,392.082,-0.9832628369,
392.182,1.003467321,392.182,-0.983220458,
392.282,0.9916681647,392.282,-0.9822202325,
392.382,0.9824132919,392.382,-0.9815004468,
392.482,0.9793472886,392.482,-0.9791691899,
392.582,0.9776160121,392.582,-0.9780740142,
392.682,0.9773182273,392.682,-0.9772096276,
392.782,0.9786450863,392.782,-0.9760286212,
392.882,0.9835521579,392.882,-0.971011281,
392.982,0.9884601235,392.982,-0.9671912789,
393.082,0.9934870601,393.082,-0.9645203948,
393.182,0.9984254241,393.182,-0.9622089267,
393.282,1.004149914,393.282,-0.9572908282,
393.382,1.008769512,393.382,-0.9542056918,
393.482,1.012378216,393.482,-0.9522044659,
393.582,1.015142918,393.582,-0.9508938789,
393.682,1.017538786,393.682,-0.9457173347,
393.782,1.018869758,393.782,-0.9427745938,
393.882,1.019132257,393.882,-0.9419766068,
393.982,1.018542767,393.982,-0.9419314861,
394.082,1.017409444,394.082,-0.9373392463,
394.182,1.015578866,394.182,-0.9346353412,
394.282,1.013377905,394.282,-0.9337660074,
394.382,1.010854125,394.382,-0.9338109493,
394.482,1.008627295,394.482,-0.9288424253,
394.582,1.006068587,394.582,-0.9257110953,
394.682,1.003430843,394.682,-0.9256494641,
394.782,1.000763774,394.782,-0.9268164039,
394.882,0.9979048371,394.882,-0.9227107167,
394.982,0.9953456521,394.982,-0.9204351306,
395.082,0.9930060506,395.082,-0.91957587,
395.182,0.9909549952,395.182,-0.9200291634,
395.282,0.9893437028,395.282,-0.9167014956,
395.382,0.988060236,395.382,-0.9173588753,
395.482,0.9870454073,395.482,-0.9192762971,
395.582,0.9862915277,395.582,-0.9222483039,
395.682,0.9855624437,395.682,-0.9197334647,
395.782,0.985160768,395.782,-0.9196512103,
395.882,0.9851872325,395.882,-0.9211565852,
395.982,0.9855269194,395.982,-0.9234501123,
396.082,0.9857695699,396.082,-0.9202015996,
396.182,0.9863479733,396.182,-0.919036746,
396.282,0.9871039391,396.282,-0.9195668697,
396.382,0.9881913066,396.382,-0.9203602672,
396.482,0.9893273711,396.482,-0.9144366384,
396.582,0.9902773499,396.582,-0.9118518233,
396.682,0.9910749793,396.682,-0.9126387239,
396.782,0.9919157624,396.782,-0.9154843688,
396.882,0.9926506281,396.882,-0.912093997,
396.982,0.9932472706,396.982,-0.9108579755,
397.082,0.9936293364,397.082,-0.9111005664,
397.182,0.9940541387,397.182,-0.9115243554,
397.282,0.9952452183,397.282,-0.9055862427,
397.382,0.9959355593,397.382,-0.903404355,
397.482,0.9965311885,397.482,-0.903937459,
397.582,0.9970901012,397.582,-0.9052644372,
397.682,0.9982087016,397.682,-0.90189147,
397.782,0.9990649223,397.782,-0.904615283,
397.882,0.9995135665,397.882,-0.9053688645,
397.982,0.9996485114,397.982,-0.8944650292,
398.082,1.00043726,398.082,-0.8600629568,
398.182,1.00053823,398.182,-0.8110015392,
398.282,1.000253916,398.282,-0.7523924112,
398.382,1.000088096,398.382,-0.6881917715,
398.482,1.002252102,398.482,-0.6164758801,
398.582,1.003878355,398.582,-0.5486549139,
398.682,1.005002379,398.682,-0.4877533317,
398.782,1.005901933,398.782,-0.4298939407,
398.882,1.008990765,398.882,-0.3644088209,
398.982,1.011221409,398.982,-0.2995668948,
399.082,1.012759089,399.082,-0.2361284196,
399.182,1.013993979,399.182,-0.172889933,
399.282,1.028292656,399.282,-0.1969690323,
399.382,1.045101643,399.382,-0.2076757103,
399.482,1.058490157,399.482,-0.1584803164,
399.582,1.053351045,399.582,-0.1655961573,
399.682,1.050430179,399.682,-0.1623217762,
399.782,1.047600269,399.782,-0.165661484,
399.882,1.044523835,399.882,-0.1702183038,
399.982,1.041693926,399.982,-0.1739717424,
400.082,1.042399764,400.082,-0.172404319,
400.182,1.042076945,400.182,-0.1727484912,
400.282,1.040846705,400.282,-0.1742003113,
400.382,1.039361715,400.382,-0.1756452173,
400.482,1.040881991,400.482,-0.1734107882,
400.582,1.041243911,400.582,-0.172985211,
400.682,1.040544391,400.682,-0.1738382429,
400.782,1.039563298,400.782,-0.1735162884,
400.882,1.041602254,400.882,-0.1695870012,
400.982,1.042200685,400.982,-0.1668267697,
401.082,1.041774631,401.082,-0.1661297679,
401.182,1.041020751,401.182,-0.1660864651,
401.282,1.042820096,401.282,-0.1631163806,
401.382,1.043305516,401.382,-0.160943523,
401.482,1.042807698,401.482,-0.1590877473,
401.582,1.042163134,401.582,-0.1584430039,
401.682,1.044417024,401.682,-0.1548196673,
401.782,1.04534626,401.782,-0.1524364501,
401.882,1.045196295,401.882,-0.1509630531,
401.982,1.04455781,401.982,-0.1488313377,
402.082,1.046352625,402.082,-0.1448111236,
402.182,1.046809793,402.182,-0.1412871778,
402.282,1.046329498,402.282,-0.1369169652,
402.382,1.045380473,402.382,-0.1318100989,
402.482,1.046938062,402.482,-0.1264209002,
402.582,1.047464371,402.582,-0.1240348294,
402.682,1.047152758,402.682,-0.1238413528,
402.782,1.046556354,402.782,-0.1239181086,
402.882,1.048317075,402.882,-0.1228072643,
402.982,1.048927307,402.982,-0.1221342236,
403.082,1.048667669,403.082,-0.1220030189,
403.182,1.04810822,403.182,-0.1218800247,
403.282,1.049837589,403.282,-0.1202932894,
403.382,1.050632119,403.382,-0.1186254546,
403.482,1.050737023,403.482,-0.1169727519,
