"vehicle_local_position->x_x","vehicle_local_position->x_y","vehicle_local_position->z_x","vehicle_local_position->z_y"
149.064,0.01267286018,149.064,-0.942655921,
149.164,0.01198742632,149.164,-0.9448708892,
149.264,0.01249589305,149.264,-0.9456011057,
149.364,0.01378807332,149.364,-0.9451659322,
149.464,0.01438770629,149.464,-0.9464225173,
149.564,0.01458215434,149.564,-0.9482710958,
149.664,0.01502913702,149.664,-0.9482153654,
149.764,0.01544791181,149.764,-0.9479221106,
149.864,0.01515843719,149.864,-0.9485723972,
149.964,0.01444545761,149.964,-0.9482800364,
150.064,0.01449533459,150.064,-0.9472100139,
150.164,0.01488989312,150.164,-0.9462457299,
150.264,0.01476213802,150.264,-0.9464671612,
150.364,0.01417891867,150.364,-0.9473510385,
150.464,0.01431483589,150.464,-0.9476933479,
150.564,0.01490131859,150.564,-0.947411716,
150.664,0.01499480847,150.664,-0.9471011758,
150.764,0.0148309283,150.764,-0.9475677013,
150.864,0.01466870308,150.864,-0.9484448433,
150.964,0.0143600991,150.964,-0.9492786527,
151.064,0.0137291709,151.064,-0.9509680271,
151.164,0.01286415849,151.164,-0.953810215,
151.264,0.01200017612,151.264,-0.9565736055,
151.364,0.01100695226,151.364,-0.9586245418,
151.464,0.00988483429,151.464,-0.9603868723,
151.564,0.008670643903,151.564,-0.9622804523,
151.664,0.007810085546,151.664,-0.9625613689,
151.764,0.007187004667,151.764,-0.9625374079,
151.864,0.006538463291,151.864,-0.9636261463,
151.964,0.005705445074,151.964,-0.965461731,
152.064,0.003988372628,152.064,-0.9662603736,
152.164,0.0018880344,152.164,-0.9668461084,
152.264,0.0002314697631,152.264,-0.967377007,
152.364,-0.001125863637,152.364,-0.9684199095,
152.464,-0.00317711453,152.464,-0.9693277478,
152.564,-0.005556785502,152.564,-0.9703889489,
152.664,-0.007357721217,152.664,-0.9712782502,
152.764,-0.008684307337,152.764,-0.9707130194,
152.864,-0.01046212483,152.864,-0.9708237648,
152.964,-0.01247238368,152.964,-0.9713897705,
153.064,-0.01390843559,153.064,-0.9713546634,
153.164,-0.0146754412,153.164,-0.9709868431,
153.264,-0.01624817029,153.264,-0.9703584313,
153.364,-0.01842338219,153.364,-0.9703524113,
153.464,-0.01981365867,153.464,-0.9716039896,
153.564,-0.02056108601,153.564,-0.9732478261,
153.664,-0.02219520696,153.664,-0.9751845002,
153.764,-0.02426624298,153.764,-0.9780359268,
153.864,-0.02536532655,153.864,-0.9802356958,
153.964,-0.02538644709,153.964,-0.9825482965,
154.064,-0.02539147623,154.064,-0.9843695164,
154.164,-0.02537331358,154.164,-0.9857503176,
154.264,-0.02450419776,154.264,-0.9868571758,
154.364,-0.02296354808,154.364,-0.9880726933,
154.464,-0.02267106064,154.464,-0.9895270467,
154.564,-0.02316454612,154.564,-0.9904611111,
154.664,-0.02292071283,154.664,-0.9909279943,
154.764,-0.02210553363,154.764,-0.991230309,
154.864,-0.02266716585,154.864,-0.9919300675,
154.964,-0.02396977134,154.964,-0.9908066392,
155.064,-0.02449792065,155.064,-0.988913238,
155.164,-0.02444946766,155.164,-0.988037765,
155.264,-0.0251819659,155.264,-0.9889771938,
155.364,-0.0263110213,155.364,-0.9912185073,
155.464,-0.02658655681,155.464,-0.992598474,
155.564,-0.02604546584,155.564,-0.993490994,
155.664,-0.02615118772,155.664,-0.9951946139,
155.764,-0.02657905407,155.764,-0.9973220825,
155.864,-0.02611330338,155.864,-0.9985895157,
155.964,-0.02486135997,155.964,-0.9990137219,
156.064,-0.02491256222,156.064,-0.9993529916,
156.164,-0.02586648613,156.164,-0.9998450875,
156.264,-0.02564518899,156.264,-1.000465631,
156.364,-0.02446834557,156.364,-1.000540614,
156.464,-0.02468473092,156.464,-0.9996829629,
156.564,-0.02577566542,156.564,-0.998871088,
156.664,-0.02602079511,156.664,-0.9981713891,
156.764,-0.02558212541,156.764,-0.9966869354,
156.864,-0.0263115745,156.864,-0.9960052967,
156.964,-0.02748960629,156.964,-0.9964411855,
157.064,-0.02783723734,157.064,-0.9973615408,
157.164,-0.02751109563,157.164,-0.9980811477,
157.264,-0.02792195417,157.264,-0.9990752935,
157.364,-0.02862151153,157.364,-1.00014174,
157.464,-0.0282246042,157.464,-1.000019193,
157.564,-0.0270479247,157.564,-0.9996961355,
157.664,-0.0263830293,157.664,-1.002447605,
157.764,-0.02612568997,157.764,-1.005238056,
157.864,-0.02503147535,157.864,-1.006085753,
157.964,-0.02335449681,157.964,-1.00630331,
158.064,-0.02199146338,158.064,-1.007274508,
158.164,-0.02081706189,158.164,-1.008253455,
158.264,-0.01913670637,158.264,-1.009052277,
158.364,-0.01702501252,158.364,-1.008769274,
158.464,-0.01507959981,158.464,-1.007110119,
158.564,-0.01331306249,158.564,-1.005874276,
158.664,-0.01120876987,158.664,-1.005504847,
158.764,-0.009064099751,158.764,-1.006120801,
158.864,-0.0075974348,158.864,-1.007360339,
158.964,-0.006744207814,158.964,-1.008540034,
159.064,-0.005789460149,159.064,-1.010047197,
159.164,-0.004732451867,159.164,-1.011015773,
159.264,-0.00396890752,159.264,-1.011819005,
159.364,-0.003471695818,159.364,-1.013435841,
159.464,-0.003057987196,159.464,-1.013576388,
159.564,-0.002604981186,159.564,-1.013176084,
159.664,-0.001850192202,159.664,-1.014007926,
159.764,-0.00104742113,159.764,-1.015749097,
159.864,-0.000274700782,159.864,-1.016106844,
159.964,0.0005861914833,159.964,-1.016359448,
160.064,0.001919179456,160.064,-1.016934872,
160.164,0.003432554193,160.164,-1.017804265,
160.264,0.004703118,160.264,-1.018010855,
160.364,0.005765372422,160.364,-1.01869905,
160.464,0.007028509397,160.464,-1.020250559,
160.564,0.008250793442,160.564,-1.022871375,
160.664,0.009196946397,160.664,-1.024626374,
160.764,0.009876230732,160.764,-1.024971843,
160.864,0.01033216622,160.864,-1.025286198,
160.964,0.01051157247,160.964,-1.026150465,
161.064,0.01045556553,161.064,-1.026055574,
161.164,0.01011849195,161.164,-1.025179863,
161.264,0.01010234933,161.264,-1.025224447,
161.364,0.01047746558,161.364,-1.026073694,
161.464,0.0106247263,161.464,-1.0268507,
161.564,0.01069275755,161.564,-1.026805401,
161.664,0.0111060096,161.664,-1.027185082,
161.764,0.01172094699,161.764,-1.028559446,
161.864,0.01209858153,161.864,-1.029475093,
161.964,0.01218854543,161.964,-1.029568195,
162.064,0.01167349052,162.064,-1.029737473,
162.164,0.01082091592,162.164,-1.030314565,
162.264,0.01012916863,162.264,-1.02965498,
162.364,0.00942585431,162.364,-1.027786136,
162.464,0.008306146599,162.464,-1.026057482,
162.564,0.006829194259,162.564,-1.024382234,
162.664,0.005388776306,162.664,-1.021571517,
162.764,0.004116534255,162.764,-1.01794517,
162.864,0.002451072447,162.864,-1.015079856,
162.964,0.0007138933288,162.964,-1.013100982,
163.064,-0.0007160884561,163.064,-1.010428429,
163.164,-0.001803051215,163.164,-1.008535504,
163.264,-0.003595946589,163.264,-1.006762862,
163.364,-0.005719648674,163.364,-1.006793857,
163.464,-0.007265984081,163.464,-1.007247567,
163.564,-0.008233479224,163.564,-1.008265972,
163.664,-0.01008786261,163.664,-1.009661674,
163.764,-0.0123333903,163.764,-1.011098862,
163.864,-0.0135049494,163.864,-1.012606144,
163.964,-0.009527517483,163.964,-1.018095613,
164.064,0.004925944377,164.064,-1.024517417,
164.164,0.03298987821,164.164,-1.027958632,
164.264,0.07660607249,164.264,-1.027295589,
164.364,0.1355126202,164.364,-1.02345705,
164.464,0.2061273009,164.464,-1.01877737,
164.564,0.2865025997,164.564,-1.015258193,
164.664,0.3754003644,164.664,-1.01246202,
164.764,0.4690289795,164.764,-1.010988951,
164.864,0.5626921654,164.864,-1.010777473,
164.964,0.6533185244,164.964,-1.011670232,
165.064,0.7392549515,165.064,-1.013207078,
165.164,0.817959249,165.164,-1.013696194,
165.264,0.8873634934,165.264,-1.013982058,
165.364,0.9462211728,165.364,-1.013707161,
165.464,0.994045198,165.464,-1.012513876,
165.564,1.030835629,165.564,-1.010949612,
165.664,1.056784749,165.664,-1.008871555,
165.764,1.072483063,165.764,-1.006667972,
165.864,1.07907927,165.864,-1.005293369,
165.964,1.078005433,165.964,-1.005146742,
166.064,1.070854664,166.064,-1.004973173,
166.164,1.058892608,166.164,-1.004567504,
166.264,1.043971896,166.264,-1.004827738,
166.364,1.02742672,166.364,-1.005415082,
166.464,1.010156751,166.464,-1.005955458,
166.564,0.9931135178,166.564,-1.006559014,
166.664,0.9771305919,166.664,-1.007015705,
166.764,0.9623900652,166.764,-1.00761795,
166.864,0.9498320818,166.864,-1.008164525,
166.964,0.939809978,166.964,-1.008673549,
167.064,0.9320947528,167.064,-1.011764765,
167.164,0.9270356297,167.164,-1.015270472,
167.264,0.9249938726,167.264,-1.017128468,
167.364,0.9257773161,167.364,-1.017468572,
167.464,0.9290908575,167.464,-1.01801002,
167.564,0.9345774055,167.564,-1.018596411,
167.664,0.9414960146,167.664,-1.017580748,
167.764,0.9494000673,167.764,-1.015388608,
167.864,0.9571844935,167.864,-1.015172005,
167.964,0.9646357298,167.964,-1.015983939,
168.064,0.9719922543,168.064,-1.016797662,
168.164,0.9788517952,168.164,-1.017749667,
168.264,0.9847009778,168.264,-1.01948452,
168.364,0.9892904162,168.364,-1.020806313,
168.464,0.9929341674,168.464,-1.022666216,
168.564,0.9955765605,168.564,-1.022978544,
168.664,0.9974066019,168.664,-1.023784399,
168.764,0.9985156655,168.764,-1.025336981,
168.864,0.9988080263,168.864,-1.025737882,
168.964,0.9984278083,168.964,-1.024129629,
169.064,0.9975350499,169.064,-1.024474382,
169.164,0.9961224794,169.164,-1.027265668,
169.264,0.9944155216,169.264,-1.029370666,
169.364,0.9925890565,169.364,-1.03032124,
169.464,0.9920578003,169.464,-1.032060623,
169.564,0.9925231338,169.564,-1.0358845,
169.664,0.9931640625,169.664,-1.038265824,
169.764,0.9938604236,169.764,-1.03749311,
169.864,0.9948326349,169.864,-1.038239121,
169.964,0.9960269332,169.964,-1.03944242,
170.064,0.9970831871,170.064,-1.038932681,
170.164,0.9981722236,170.164,-1.037267923,
