"vehicle_local_position->x_x","vehicle_local_position->x_y"
759.978,1.101882577,
760.078,1.110097289,
760.178,1.110069275,
760.278,1.102752209,
760.378,1.089815021,
760.478,1.073861122,
760.578,1.05601871,
760.678,1.036595583,
760.778,1.016942263,
760.878,0.9979878068,
760.978,0.9804657102,
761.078,0.9652221799,
761.178,0.9526401758,
761.278,0.9427087307,
761.378,0.9355960488,
761.478,0.9316269159,
761.578,0.9306384325,
761.678,0.9319092631,
761.778,0.9351681471,
761.878,0.9403092265,
761.978,0.946721077,
762.078,0.9535440803,
762.178,0.9604070783,
762.278,0.9674960971,
762.378,0.9744856358,
762.478,0.9800085425,
762.578,0.9842230678,
762.678,0.987860918,
762.778,0.9910336733,
762.878,0.9934273362,
762.978,0.9950956106,
763.078,0.9960927963,
763.178,0.9964236021,
763.278,0.9958297014,
763.378,0.9945998788,
763.478,0.9933635592,
763.578,0.9920369387,
763.678,0.9906046391,
763.778,0.9893485308,
763.878,0.9884123206,
763.978,0.9876527786,
764.078,0.9868311882,
764.178,0.985953331,
764.278,0.9853909016,
764.378,0.9851481318,
764.478,0.9855550528,
764.578,0.9864251614,
764.678,0.9873779416,
764.778,0.9882334471,
764.878,0.9886832833,
764.978,0.9888701439,
765.078,0.9891464114,
765.178,0.9896509051,
765.278,0.9898697138,
765.378,0.9899023175,
765.478,0.9898754358,
765.578,0.9899433851,
765.678,0.9905093908,
765.778,0.9913306832,
765.878,0.9921039343,
765.978,0.9927526116,
766.078,0.9937521815,
766.178,0.9950330257,
766.278,0.9961801171,
766.378,0.9971541762,
766.478,0.9985230565,
766.578,1.000003934,
766.678,1.001167655,
766.778,1.002005935,
766.878,1.002991438,
766.978,1.003861308,
767.078,1.004158139,
767.178,1.004083753,
767.278,1.004863858,
767.378,1.006210089,
767.478,1.006792665,
767.578,1.006881595,
767.678,1.008161664,
767.778,1.010215759,
767.878,1.011545897,
767.978,1.012159824,
768.078,1.013517737,
768.178,1.015580297,
768.278,1.016893983,
768.378,1.017588019,
768.478,1.018912435,
768.578,1.020519257,
768.678,1.021254778,
768.778,1.021200418,
768.878,1.021307349,
768.978,1.021437168,
769.078,1.020947933,
769.178,1.019861221,
769.278,1.019747496,
769.378,1.020044327,
769.478,1.019536018,
769.578,1.01863873,
769.678,1.018149257,
769.778,1.017917871,
769.878,1.017201662,
769.978,1.016236901,
770.078,1.015416145,
770.178,1.014710188,
770.278,1.014016986,
770.378,1.013806701,
770.478,1.013203621,
770.578,1.012609005,
770.678,1.012495041,
770.778,1.012644172,
770.878,1.012623668,
770.978,1.012473464,
771.078,1.011896014,
771.178,1.011042476,
771.278,1.010014415,
771.378,1.008890986,
771.478,1.007192492,
771.578,1.00507319,
771.678,1.002983809,
771.778,1.001129985,
771.878,0.9983579516,
771.978,0.994989872,
772.078,0.9923294187,
772.178,0.9902958274,
772.278,0.9874084592,
772.378,0.9840678573,
772.478,0.981679678,
772.578,0.9802391529,
772.678,0.978277266,
772.778,0.9763374925,
772.878,0.9757246375,
772.978,0.9760751724,
773.078,0.9758889675,
773.178,0.9755488038,
773.278,0.9758993983,
773.378,0.9769876599,
773.478,0.9769060612,
773.578,0.976035893,
773.678,0.9759757519,
773.778,0.9763627648,
773.878,0.9753933549,
773.978,0.9737064838,
774.078,0.9729838967,
774.178,0.9730251431,
774.278,0.9724069238,
774.378,0.9716745019,
774.478,0.9719281793,
774.578,0.9729202986,
774.678,0.9736220241,
774.778,0.9742408395,
