timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
285389034,78112844,-33.930012700000006,18.8649518,-2.6855655,-8.344541,0.26624045,-0.024212597,-0.025190823,0.0,0.013249479,0.038228657,0.015121233,-0.008098424,-0.038843874,-0.018811755,0.02251794,-0.014688376,-0.031343978,-0.6508509,0.04269858,0.007919349,118.6399,0.1,0.25172943,0.44267717,0.12776558,0.103588134,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285398990,78112844,-33.930012700000006,18.8649518,-2.6858935,-8.344246,0.26589635,-0.024212597,-0.025190823,0.0,0.012864601,0.03725183,0.017084436,-0.006365287,-0.038843874,-0.018811755,0.02251794,-0.0043206117,-0.059070416,0.5197807,0.042420533,0.007919349,118.6399,0.1,0.25256678,0.44330415,0.12821047,0.10376557,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285408994,78112844,-33.930012700000006,18.8649518,-2.6862097,-8.343956,0.26560482,-0.024212597,-0.025190823,0.0,0.012266599,0.036638357,0.019177785,-0.004482652,-0.038843874,-0.018811755,0.02251794,-0.038498726,-0.06791938,-0.064534135,0.042650025,0.007919349,118.6399,0.1,0.25340933,0.4439331,0.12865579,0.10394308,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285418996,78112844,-33.930012700000006,18.8649518,-2.686511,-8.343665,0.26531804,-0.024212597,-0.025190823,0.0,0.012983951,0.03795771,0.01675185,-0.0071006995,-0.038843874,-0.018811755,0.02251794,0.16193219,0.3027245,-0.13167648,0.042419806,0.007919349,118.6399,0.1,0.25425708,0.44456404,0.12910205,0.104120664,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285428998,78112844,-33.930012700000006,18.8649518,-2.6867948,-8.343361,0.26503268,-0.024212597,-0.025190823,0.0,0.012150726,0.03744709,0.015951784,-0.008075008,-0.038843874,-0.018811755,0.02251794,-0.12882839,-0.20052087,-0.05227569,0.04264681,0.007919349,118.6399,0.1,0.25511009,0.44519693,0.12954944,0.10429832,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285438999,78112844,-33.930012700000006,18.8649518,-2.6870685,-8.343065,0.26463413,-0.024212597,-0.025190823,0.0,0.012465696,0.037488546,0.018361986,-0.0059591797,-0.038843874,-0.018811755,0.02251794,0.058058523,0.17182793,0.28489333,0.04251175,0.007919349,118.6399,0.1,0.25596833,0.44225827,0.12999749,0.1041664,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285449002,78112844,-33.930012700000006,18.8649518,-2.6873279,-8.342761,0.2642639,-0.024212597,-0.025190823,0.0,0.012185635,0.03807483,0.017023802,-0.0075691957,-0.038843874,-0.018811755,0.02251794,-0.012111558,0.010522057,-0.23765618,0.042574,0.007919349,118.6399,0.1,0.2568318,0.44289008,0.13044602,0.1043443,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285459053,78112844,-33.930012700000006,18.8649518,-2.6875734,-8.342453,0.26389834,-0.024212597,-0.025190823,0.0,0.01232872,0.03780507,0.016467199,-0.008375965,-0.038843874,-0.018811755,0.02251794,0.02446895,-0.02616723,0.04722573,0.04260585,0.007919349,118.6399,0.1,0.25770053,0.44352385,0.1308944,0.10452227,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285469008,78112844,-33.930012700000006,18.8649518,-2.6878083,-8.3421545,0.26355332,-0.024212597,-0.025190823,0.0,0.011979936,0.03664545,0.017384792,-0.0076877074,-0.038843874,-0.018811755,0.02251794,-0.020189997,-0.09039258,0.10132802,0.042611938,0.007919349,118.6399,0.1,0.25857452,0.44415963,0.13134441,0.10470031,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285479008,78112844,-33.930012700000006,18.8649518,-2.6880298,-8.341852,0.2632314,-0.024212597,-0.025190823,0.0,0.01248997,0.0379662,0.017188776,-0.008093049,-0.038843874,-0.018811755,0.02251794,0.09236352,0.1629581,-0.066567205,0.04256895,0.007919349,118.6399,0.1,0.2594538,0.44479743,0.13179441,0.10487844,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
