pr1,pi1,pr2,pi2,pr3,pi3,pr4,pi4,pr5,pi5,pr6,pi6,pr7,pi7,pr8,pi8,pr9,pi9,pr10,pi10,pr11,pi11,pr12,pi12,pr13,pi13,clr1,cli1,clr2,cli2,clr3,cli3,clr4,cli4,clr5,cli5,clr6,cli6,clr7,cli7,clr8,cli8,clr9,cli9,clr10,cli10,clr11,cli11,clr12,cli12,clr13,cli13
-0.004242040769,0.06668817636,-0.004242040769,-0.06668817636,-169.1194736,0,-161.651325,0,-66.66667701,0,-66.66665632,0,-22.33976312,0,-15.10491007,5.706095256,-15.10491007,-5.706095256,-0.0005970469936,3.322914777,-0.0005970469936,-3.322914777,-4.01084873,0,-3.59926218,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.006480698101,0.08233949124,-0.006480698101,-0.08233949124,-169.1194736,0,-161.6433004,0,-66.6666783,0,-66.66665504,0,-22.33976312,0,-15.10638613,5.716198577,-15.10638613,-5.716198577,-0.0009120997306,3.322861732,-0.0009120997306,-3.322861732,-4.01084873,0,-3.599227183,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.009898037681,0.101592441,-0.009898037681,-0.101592441,-169.1194736,0,-161.6310332,0,-66.6666693,0,-66.66666404,0,-22.33976312,0,-15.10864827,5.731619356,-15.10864827,-5.731619356,-0.001392981833,3.322778794,-0.001392981833,-3.322778794,-4.01084873,0,-3.599173644,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.01511102437,0.1252118806,-0.01511102437,-0.1252118806,-169.1194736,0,-161.6122791,0,-66.66666667,-4.081179632e-06,-66.66666667,4.081179632e-06,-22.33976312,0,-15.11211989,5.755138432,-15.11211989,-5.755138432,-0.002126393959,3.322647697,-0.002126393959,-3.322647697,-4.01084873,0,-3.599091708,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.02305475911,0.1540671137,-0.02305475911,-0.1540671137,-169.1194736,0,-161.5836051,0,-66.66665813,0,-66.6666752,0,-22.33976312,0,-15.11745877,5.790967863,-15.11745877,-5.790967863,-0.003243523658,3.322437279,-0.003243523658,-3.322437279,-4.01084873,0,-3.598966229,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.0351401921,0.1890896071,-0.0351401921,-0.1890896071,-169.1194736,0,-161.5397578,0,-66.66665532,0,-66.66667802,0,-22.33976312,0,-15.1256951,5.845458348,-15.1256951,-5.845458348,-0.004941586016,3.322092451,-0.004941586016,-3.322092451,-4.01084873,0,-3.598773874,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.0534817322,0.2311627682,-0.0534817322,-0.2311627682,-169.1194736,0,-161.4726932,0,-66.66665682,0,-66.66667651,0,-22.33976312,0,-15.13846147,5.928120972,-15.13846147,-5.928120972,-0.007513660284,3.32151208,-0.007513660284,-3.32151208,-4.01084873,0,-3.598478546,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.08121489168,0.2808788551,-0.08121489168,-0.2808788551,-169.1194736,0,-161.3700829,0,-66.66666667,4.213249879e-06,-66.66666667,-4.213249879e-06,-22.33976312,0,-15.15838837,6.053063144,-15.15838837,-6.053063144,-0.01138601802,3.320503847,-0.01138601802,-3.320503847,-4.01084873,0,-3.598024043,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.1229150941,0.3380428825,-0.1229150941,-0.3380428825,-169.1194736,0,-161.2130053,0,-66.6666547,0,-66.66667864,0,-22.33976312,0,-15.18981146,6.240930099,-15.18981146,-6.240930099,-0.01715253749,3.31869259,-0.01715253749,-3.31869259,-4.01084873,0,-3.597322003,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.1850946977,0.4007013759,-0.1850946977,-0.4007013759,-169.1194736,0,-160.9723562,0,-66.66666028,0,-66.66667306,0,-22.33976312,0,-15.24008886,6.521394332,-15.24008886,-6.521394332,-0.02556535457,3.315342074,-0.02556535457,-3.315342074,-4.01084873,0,-3.596231424,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
