"vehicle_local_position_groundtruth->x_x","vehicle_local_position_groundtruth->x_y","vehicle_local_position_groundtruth->vx_x","vehicle_local_position_groundtruth->vx_y"
1504.208,0.1000754312,1504.208,0.1099999994,
1504.308,0.1111949235,1504.308,0.08999999613,
1504.408,0.1223144159,1504.408,0.05999999866,
1504.508,0.1334339082,1504.508,0.02999999933,
1504.608,0.1334339082,1504.608,0,
1504.708,0.1334339082,1504.708,-0.01999999955,
1504.808,0.1223144159,1504.808,-0.03999999911,
1504.908,0.1223144159,1504.908,-0.05999999866,
1505.008,0.1111949235,1505.008,-0.0700000003,
1505.108,0.1000754312,1505.108,-0.07999999821,
1505.208,0.1000754312,1505.208,-0.07999999821,
1505.308,0.08895593882,1505.308,-0.07999999821,
1505.408,0.07783644646,1505.408,-0.07999999821,
1505.508,0.06671695411,1505.508,-0.0700000003,
1505.608,0.06671695411,1505.608,-0.05999999866,
1505.708,0.05559746549,1505.708,-0.04999999702,
1505.808,0.05559746549,1505.808,-0.03999999911,
1505.908,0.04447796941,1505.908,-0.02999999933,
1506.008,0.04447796941,1506.008,-0.01999999955,
1506.108,0.04447796941,1506.108,-0.009999999776,
1506.208,0.04447796941,1506.208,0,
1506.308,0.04447796941,1506.308,0,
1506.408,0.04447796941,1506.408,0,
1506.508,0.04447796941,1506.508,0.009999999776,
1506.608,0.04447796941,1506.608,0.009999999776,
1506.708,0.04447796941,1506.708,0.009999999776,
1506.808,0.04447796941,1506.808,0.009999999776,
1506.908,0.04447796941,1506.908,0.009999999776,
1507.008,0.04447796941,1507.008,0,
1507.108,0.05559746549,1507.108,0,
1507.208,0.05559746549,1507.208,0,
1507.308,0.05559746549,1507.308,0,
1507.408,0.05559746549,1507.408,0,
1507.508,0.05559746549,1507.508,0.009999999776,
1507.608,0.05559746549,1507.608,0.009999999776,
1507.708,0.05559746549,1507.708,0.01999999955,
1507.808,0.05559746549,1507.808,0.009999999776,
1507.908,0.05559746549,1507.908,0.009999999776,
1508.008,0.05559746549,1508.008,0,
1508.108,0.05559746549,1508.108,0,
1508.208,0.05559746549,1508.208,-0.009999999776,
1508.308,0.05559746549,1508.308,-0.009999999776,
1508.408,0.05559746549,1508.408,-0.01999999955,
1508.508,0.05559746549,1508.508,-0.01999999955,
1508.608,0.05559746549,1508.608,-0.009999999776,
1508.708,0.04447796941,1508.708,-0.009999999776,
1508.808,0.04447796941,1508.808,-0.009999999776,
1508.908,0.04447796941,1508.908,-0.009999999776,
1509.008,0.04447796941,1509.008,-0.009999999776,
1509.108,0.04447796941,1509.108,-0.009999999776,
1509.208,0.04447796941,1509.208,-0.009999999776,
1509.308,0.04447796941,1509.308,-0.009999999776,
1509.404,0.03335848078,1509.404,-0.009999999776,
1509.508,0.03335848078,1509.508,-0.009999999776,
1509.608,0.03335848078,1509.608,-0.01999999955,
1509.708,0.03335848078,1509.708,-0.01999999955,
1509.808,0.03335848078,1509.808,-0.01999999955,
1509.908,0.03335848078,1509.908,-0.01999999955,
1510.008,0.02223898657,1510.008,-0.01999999955,
1510.108,0.02223898657,1510.108,-0.01999999955,
1510.208,0.02223898657,1510.208,-0.01999999955,
1510.308,0.02223898657,1510.308,-0.01999999955,
1510.408,0.02223898657,1510.408,-0.009999999776,
1510.508,0.01111949328,1510.508,-0.009999999776,
1510.608,0.01111949328,1510.608,-0.009999999776,
1510.708,0.01111949328,1510.708,-0.009999999776,
1510.808,0.01111949328,1510.808,-0.009999999776,
1510.908,0.01111949328,1510.908,-0.009999999776,
1511.008,0.01111949328,1511.008,-0.009999999776,
1511.108,0.01111949328,1511.108,-0.009999999776,
1511.208,3.536615445e-10,1511.208,-0.009999999776,
1511.308,3.536615445e-10,1511.308,-0.009999999776,
1511.408,3.536615445e-10,1511.408,-0.009999999776,
1511.508,3.536615445e-10,1511.508,-0.009999999776,
1511.608,3.536615445e-10,1511.608,-0.009999999776,
1511.708,3.536615445e-10,1511.708,-0.009999999776,
1511.808,3.536615445e-10,1511.808,-0.009999999776,
1511.908,3.536615445e-10,1511.908,0,
1512.008,3.536615445e-10,1512.008,0,
1512.108,3.536615445e-10,1512.108,0,
1512.208,-0.01111949235,1512.208,0,
1512.308,-0.01111949235,1512.308,0,
1512.408,-0.01111949235,1512.408,0,
1512.508,-0.01111949235,1512.508,0,
1512.608,-0.01111949235,1512.608,0,
1512.708,-0.01111949235,1512.708,0,
1512.808,-0.01111949235,1512.808,0,
1512.908,-0.01111949235,1512.908,0,
1513.008,-0.01111949235,1513.008,0,
1513.108,-0.01111949235,1513.108,0,
1513.208,-0.01111949235,1513.208,0,
1513.308,-0.01111949235,1513.308,0,
1513.408,-0.01111949235,1513.408,0,
1513.504,3.536615445e-10,1513.504,0,
1513.608,3.536615445e-10,1513.608,0,
1513.708,3.536615445e-10,1513.708,0,
1513.808,3.536615445e-10,1513.808,0,
1513.908,3.536615445e-10,1513.908,0,
1514.008,3.536615445e-10,1514.008,0,
1514.108,3.536615445e-10,1514.108,0,
1514.208,3.536615445e-10,1514.208,0,
1514.308,3.536615445e-10,1514.308,0,
1514.408,3.536615445e-10,1514.408,0,
1514.508,3.536615445e-10,1514.508,0,
1514.608,3.536615445e-10,1514.608,-0.009999999776,
1514.708,3.536615445e-10,1514.708,-0.009999999776,
1514.808,3.536615445e-10,1514.808,-0.009999999776,
1514.908,-0.01111949235,1514.908,-0.009999999776,
1515.008,-0.01111949235,1515.008,-0.009999999776,
1515.108,-0.01111949235,1515.108,-0.009999999776,
1515.208,-0.01111949235,1515.208,-0.009999999776,
1515.308,-0.01111949235,1515.308,-0.009999999776,
1515.408,-0.01111949235,1515.408,-0.009999999776,
1515.508,-0.01111949235,1515.508,-0.009999999776,
1515.608,-0.02223898657,1515.608,-0.009999999776,
1515.704,-0.02223898657,1515.704,-0.009999999776,
1515.808,-0.02223898657,1515.808,-0.009999999776,
1515.908,-0.02223898657,1515.908,-0.009999999776,
1516.008,-0.02223898657,1516.008,-0.01999999955,
1516.108,-0.02223898657,1516.108,-0.01999999955,
1516.208,-0.03335847706,1516.208,-0.01999999955,
1516.308,-0.03335847706,1516.308,-0.01999999955,
1516.408,-0.03335847706,1516.408,-0.009999999776,
1516.508,-0.03335847706,1516.508,-0.009999999776,
1516.608,-0.03335847706,1516.608,-0.009999999776,
1516.708,-0.03335847706,1516.708,-0.009999999776,
1516.808,-0.04447796941,1516.808,-0.009999999776,
1516.908,-0.04447796941,1516.908,0,
1517.008,-0.04447796941,1517.008,0,
1517.104,-0.04447796941,1517.104,0,
1517.208,-0.04447796941,1517.208,0,
1517.308,-0.04447796941,1517.308,0,
1517.408,-0.04447796941,1517.408,0,
1517.508,-0.04447796941,1517.508,0,
1517.608,-0.04447796941,1517.608,0,
1517.708,-0.04447796941,1517.708,0,
1517.808,-0.04447796941,1517.808,0,
1517.908,-0.04447796941,1517.908,0,
1518.008,-0.04447796941,1518.008,0,
1518.108,-0.04447796941,1518.108,0,
1518.208,-0.04447796941,1518.208,0,
1518.308,-0.04447796941,1518.308,0,
1518.408,-0.04447796941,1518.408,0,
1518.508,-0.04447796941,1518.508,0,
1518.608,-0.04447796941,1518.608,0,
1518.708,-0.04447796941,1518.708,0,
1518.804,-0.04447796941,1518.804,0,
1518.908,-0.04447796941,1518.908,0,
1519.008,-0.04447796941,1519.008,0,
1519.108,-0.04447796941,1519.108,0.009999999776,
