current_time,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,pos_sp.x,pos_sp.y,pos_sp.z,vel_sp.x,vel_sp.y,vel_sp.z,acc_sp.x,acc_sp.y,acc_sp.y,payload_euler.x,payload_euler.y,payload_euler.z,simulink_acc_sp.x,simulink_acc_sp.y,simulink_acc_sp.y
1633548977.271383,-0.0030782176181674004,0.011697813868522644,-7.979761600494385,0.0017126783495768905,-0.00898189190775156,8.676131983520463e-05,0.0,0.0,0.0,0.0,0.0,-0.0,-0.005045647267252207,0.014998326078057289,0.014998326078057289,-0.0009269267902709544,0.0006075527635402977,-1.571184515953064,0.0,0.0,0.0
1633548977.272338,-0.0030782176181674004,0.011697813868522644,-7.979761600494385,0.0017126783495768905,-0.00898189190775156,8.676131983520463e-05,0.0,0.0,0.0,0.0,0.0,-0.0,-0.005045647267252207,0.014998326078057289,0.014998326078057289,-0.0009269267902709544,0.0006075527635402977,-1.571184515953064,0.0,0.0,0.0
1633548977.282576,-0.003077805507928133,0.011677458882331848,-7.979755878448486,0.0017218803986907005,-0.008939769119024277,-5.1086986786685884e-05,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0049669574946165085,0.014303607866168022,0.014303607866168022,-0.0009493664838373661,0.0006063480395823717,-1.571218490600586,0.0,0.0,0.0
1633548977.292694,-0.003063039854168892,0.01156628504395485,-7.979747295379639,0.0017313637072220445,-0.008752415888011456,-0.00043437909334897995,0.0,0.0,0.0,0.0,0.0,-0.0,-0.004885975271463394,0.01377666275948286,0.01377666275948286,-0.0009811018826439977,0.0006038099527359009,-1.5712785720825195,0.0,0.0,0.0
1633548977.303384,-0.003063039854168892,0.01156628504395485,-7.979747295379639,0.0017313637072220445,-0.008752415888011456,-0.00043437909334897995,0.0,0.0,0.0,0.0,0.0,-0.0,-0.004885975271463394,0.01377666275948286,0.01377666275948286,-0.0010102014057338238,0.0006004762253724039,-1.5713486671447754,0.0,0.0,0.0
1633548977.313128,-0.0031399400904774666,0.011790051124989986,-7.979757785797119,0.001693881000392139,-0.008427118882536888,-0.0006535956636071205,0.0,0.0,0.0,0.0,0.0,-0.0,-0.004885975271463394,0.01377666275948286,0.01377666275948286,-0.0010279868729412556,0.0005978606641292572,-1.5714004039764404,0.0,0.0,0.0
1633548977.322361,-0.003169733565300703,0.011862281709909439,-7.979766845703125,0.0016641347901895642,-0.008207295089960098,-0.0007448997930623591,0.0,0.0,0.0,0.0,0.0,-0.0,-0.004419964272528887,0.011365222744643688,0.011365222744643688,-0.0010520723881199956,0.000593425240367651,-1.5714846849441528,0.0,0.0,0.0
1633548977.332472,-0.003169733565300703,0.011862281709909439,-7.979766845703125,0.0016641347901895642,-0.008207295089960098,-0.0007448997930623591,0.0,0.0,0.0,0.0,0.0,-0.0,-0.004419964272528887,0.011365222744643688,0.011365222744643688,-0.001066322554834187,0.0005901698023080826,-1.5715444087982178,0.0,0.0,0.0
1633548977.343791,-0.003232743591070175,0.012029713951051235,-7.97978401184082,0.0015944706974551082,-0.0077981045469641685,-0.0008424074621871114,0.0,0.0,0.0,0.0,0.0,-0.0,-0.004077055491507053,0.010004304349422455,0.010004304349422455,-0.0010790767846629024,0.0005867070285603404,-1.5716063976287842,0.0,0.0,0.0
1633548977.352619,-0.0032656097318977118,0.012122449465095997,-7.979789733886719,0.0015595726436004043,-0.007615465670824051,-0.0008833312313072383,0.0,0.0,0.0,0.0,0.0,-0.0,-0.004077055491507053,0.010004304349422455,0.010004304349422455,-0.0010953263845294714,0.0005811731098219752,-1.5717027187347412,0.0,0.0,0.0
1633548977.362474,-0.0032656097318977118,0.012122449465095997,-7.979789733886719,0.0015595726436004043,-0.007615465670824051,-0.0008833312313072383,0.0,0.0,0.0,0.0,0.0,-0.0,-0.003743827110156417,0.008824698626995087,0.008824698626995087,-0.00110802857670933,0.0005752813303843141,-1.5718022584915161,0.0,0.0,0.0
1633548977.372414,-0.003317252267152071,0.012242969125509262,-7.979809284210205,0.001511740847490728,-0.007378153037279844,-0.0009326150175184011,0.0,0.0,0.0,0.0,0.0,-0.0,-0.003743827110156417,0.008824698626995087,0.008824698626995087,-0.0011144798481836915,0.0005711724516004324,-1.5718694925308228,0.0,0.0,0.0
1633548977.382338,-0.0033474653027951717,0.012326466850936413,-7.979815483093262,0.0014241195749491453,-0.006948601920157671,-0.0010117661440744996,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0035810742992907763,0.008277605287730694,0.008277605287730694,-0.0011210701195523143,0.0005647531361319125,-1.57197105884552,0.0,0.0,0.0
1633548977.39247,-0.0033474653027951717,0.012326466850936413,-7.979815483093262,0.0014241195749491453,-0.006948601920157671,-0.0010117661440744996,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0035810742992907763,0.008277605287730694,0.008277605287730694,-0.0011233760742470622,0.0005603093886747956,-1.572039246559143,0.0,0.0,0.0
1633548977.402491,-0.003405886236578226,0.012487011030316353,-7.979827880859375,0.0013868624810129404,-0.00676376698538661,-0.0010234531946480274,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0032422065269201994,0.006871167104691267,0.006871167104691267,-0.0011239938903599977,0.000555739738047123,-1.5721079111099243,0.0,0.0,0.0
1633548977.412576,-0.0034285986330360174,0.012537172995507717,-7.9798383712768555,0.0012986102374270558,-0.006329139694571495,-0.0010016382439062,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0032422065269201994,0.006871167104691267,0.006871167104691267,-0.0011217327555641532,0.0005486629670485854,-1.5722113847732544,0.0,0.0,0.0
