current_time,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,pos_sp.x,pos_sp.y,pos_sp.z,vel_sp.x,vel_sp.y,vel_sp.z,acc_sp.x,acc_sp.y,acc_sp.y,payload_angles.x,payload_angles.y,payload_angles.z,payload_angles_rate.x,payload_angles_rate.y,payload_angles_rate.z
19.48,0.2446906417608261,-0.16908851265907288,-2.0750465393066406,-0.03204740211367607,0.18361903727054596,-0.18044932186603546,0.0,0.0,0.0,-0.25761017203330994,0.16776858270168304,-0.39602798223495483,-0.075779989361763,-0.10425984859466553,-0.10425984859466553,0.033718569795657405,0.061048527984137166,-1.608904674485788,0.1542287069255288,0.13436262367056112,0.04021707588443135
19.48,0.2446906417608261,-0.16908851265907288,-2.0750465393066406,-0.03204740211367607,0.18361903727054596,-0.18044932186603546,0.0,0.0,0.0,-0.25761017203330994,0.16776858270168304,-0.39602798223495483,-0.075779989361763,-0.10425984859466553,-0.10425984859466553,0.033718569795657405,0.061048527984137166,-1.608904674485788,0.1542287069255288,0.13436262367056112,0.04021707588443135
19.492,0.2449912130832672,-0.16734328866004944,-2.076561689376831,-0.032390788197517395,0.18340806663036346,-0.17933440208435059,0.0,0.0,0.0,-0.25761017203330994,0.16776858270168304,-0.39602798223495483,-0.075779989361763,-0.10425984859466553,-0.10425984859466553,0.04002234498314119,0.06669151799022115,-1.606673675702054,0.14097379749917852,0.11280439294894194,0.042688058650092744
19.5,0.24514241516590118,-0.16487550735473633,-2.0787782669067383,-0.032865043729543686,0.18293246626853943,-0.17783713340759277,0.0,0.0,0.0,-0.2580392062664032,0.16376608610153198,-0.3932626247406006,-0.08298271894454956,-0.10019838064908981,-0.10019838064908981,0.04002234498314119,0.06669151799022115,-1.606673675702054,0.14097379749917852,0.11280439294894194,0.042688058650092744
19.512,0.24541179835796356,-0.1631462275981903,-2.080267906188965,-0.03341202810406685,0.18271605670452118,-0.17671743035316467,0.0,0.0,0.0,-0.2580392062664032,0.16376608610153198,-0.3932626247406006,-0.08298271894454956,-0.10019838064908981,-0.10019838064908981,0.04002234498314119,0.06669151799022115,-1.606673675702054,0.14097379749917852,0.11280439294894194,0.042688058650092744
19.52,0.24552302062511444,-0.16069339215755463,-2.0824475288391113,-0.03448212146759033,0.18261437118053436,-0.17511188983917236,0.0,0.0,0.0,-0.258405864238739,0.159796804189682,-0.39054781198501587,-0.08264747262001038,-0.10252737998962402,-0.10252737998962402,0.04002234498314119,0.06669151799022115,-1.606673675702054,0.14097379749917852,0.11280439294894194,0.042688058650092744
19.536,0.24575641751289368,-0.158974751830101,-2.083911418914795,-0.034915558993816376,0.18282388150691986,-0.17404477298259735,0.0,0.0,0.0,-0.258405864238739,0.159796804189682,-0.39054781198501587,-0.08264747262001038,-0.10252737998962402,-0.10252737998962402,0.04569152713772705,0.0712699270311165,-1.6043446311638838,0.12432153315822705,0.08800466040211719,0.04519304303082016
19.54,0.24582815170288086,-0.15653103590011597,-2.0860536098480225,-0.035929348319768906,0.18264514207839966,-0.17238464951515198,0.0,0.0,0.0,-0.2586992383003235,0.15584507584571838,-0.3878846764564514,-0.08400333672761917,-0.10933871567249298,-0.10933871567249298,0.04569152713772705,0.0712699270311165,-1.6043446311638838,0.12432153315822705,0.08800466040211719,0.04519304303082016
19.552,0.24602827429771423,-0.15482325851917267,-2.0875232219696045,-0.036056142300367355,0.18261365592479706,-0.17161080241203308,0.0,0.0,0.0,-0.2586992383003235,0.15584507584571838,-0.3878846764564514,-0.08400333672761917,-0.10933871567249298,-0.10933871567249298,0.04569152713772705,0.0712699270311165,-1.6043446311638838,0.12432153315822705,0.08800466040211719,0.04519304303082016
19.56,0.2460639327764511,-0.15239475667476654,-2.089665174484253,-0.036853399127721786,0.18209095299243927,-0.1703951507806778,0.0,0.0,0.0,-0.2589257061481476,0.15191739797592163,-0.3852044939994812,-0.0894903689622879,-0.11169316619634628,-0.11169316619634628,0.04569152713772705,0.0712699270311165,-1.6043446311638838,0.12432153315822705,0.08800466040211719,0.04519304303082016
19.588,0.24638007581233978,-0.1466490477323532,-2.09464955329895,-0.03770437091588974,0.17882046103477478,-0.16780030727386475,0.0,0.0,0.0,-0.25909224152565,0.14803767204284668,-0.38256677985191345,-0.0962652787566185,-0.10094274580478668,-0.10094274580478668,0.0505457522495402,0.0746551112475709,-1.6019307763995088,0.1013473164083435,0.06082402033701485,0.04831330782091913
19.588,0.24638007581233978,-0.1466490477323532,-2.09464955329895,-0.03770437091588974,0.17882046103477478,-0.16780030727386475,0.0,0.0,0.0,-0.25909224152565,0.14803767204284668,-0.38256677985191345,-0.0962652787566185,-0.10094274580478668,-0.10094274580478668,0.0505457522495402,0.0746551112475709,-1.6019307763995088,0.1013473164083435,0.06082402033701485,0.04831330782091913
19.596,0.24638007581233978,-0.1466490477323532,-2.09464955329895,-0.03770437091588974,0.17882046103477478,-0.16780030727386475,0.0,0.0,0.0,-0.25909224152565,0.14803767204284668,-0.38256677985191345,-0.0962652787566185,-0.10094274580478668,-0.10094274580478668,0.0505457522495402,0.0746551112475709,-1.6019307763995088,0.1013473164083435,0.06082402033701485,0.04831330782091913
19.6,0.24635358154773712,-0.1442902684211731,-2.096736192703247,-0.03844912722706795,0.177743598818779,-0.16662190854549408,0.0,0.0,0.0,-0.259204238653183,0.14422056078910828,-0.37996214628219604,-0.0984613299369812,-0.09932587295770645,-0.09932587295770645,0.0505457522495402,0.0746551112475709,-1.6019307763995088,0.1013473164083435,0.06082402033701485,0.04831330782091913
