timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
57778755,-33.92485675867125,18.866363766989785,128.89352,160.23512,-0.0,0.97725594,1.6874919,0.0,2,0,0,0
58778868,-33.9248561539352,18.866363963254305,129.395,160.64835,-0.0,0.9771799,1.6879901,0.0,2,0,0,0
59778981,-33.92485752781597,18.86636569913519,129.58858,160.76987,-0.0,0.9771573,1.6875409,0.0,2,0,0,0
60779097,-33.92485753167661,18.866365255870974,129.84424,160.96136,-0.0,0.97715104,1.6880496,0.0,2,0,0,0
61779219,-33.92485705040611,18.86636520215404,129.96803,161.02142,-0.0,0.9773379,1.6876091,0.0,2,0,0,0
62779320,-33.9248563277248,18.86636481462967,130.01225,161.0052,-0.0,0.9779022,1.6871734,0.0,2,0,0,0
63779431,-33.92485647615771,18.866365486133397,130.03273,160.9749,-0.0,0.9784962,1.6876916,0.0,2,0,0,0
64779543,-33.92485694707098,18.866365115961155,130.14822,161.05081,-0.0,0.97891724,1.6872611,0.0,2,0,0,0
65779654,-33.924857288419524,18.866365575639236,130.12935,160.9946,-0.0,0.97933096,1.6877747,0.0,2,0,0,0
66779790,-33.92485704856109,18.866365148333895,130.12833,160.95288,-0.0,0.9796804,1.687342,0.0,2,0,0,0
67779875,-33.9248573139403,18.866365454724804,130.12956,160.92157,-0.0,0.98020536,1.6878622,0.0,2,0,0,0
68779987,-33.92485265056985,18.866365856648216,130.16162,160.94948,-0.0,0.98056877,1.6874309,0.0,2,0,0,0
69780094,-33.92484279472995,18.866366788212886,130.26538,161.043,-0.0,0.9807975,1.6879432,0.0,2,0,0,0
70780201,-33.92483074908273,18.86636772503249,130.36665,161.11568,-0.0,0.9810483,1.6875185,0.0,2,0,0,0
71780307,-33.924818758829474,18.866369202910963,130.32616,161.02545,-0.0,0.9811214,1.6870911,0.0,2,0,0,0
72780412,-33.92480647447598,18.866370888699702,130.33926,160.97662,-0.0,0.9811141,1.6876032,0.0,2,0,0,0
73780563,-33.92479455226946,18.866372218938984,130.24979,160.81203,-0.0,0.98109734,1.6871713,0.0,2,0,0,0
74780616,-33.92478230232974,18.866373202654696,130.18283,160.66934,-0.0,0.9810132,1.6876898,0.0,2,0,0,0
75780716,-33.92477016895482,18.86637326445441,130.09811,160.51987,-0.0,0.9810587,1.6872661,0.0,2,0,0,0
76780816,-33.924758295768086,18.86637373076012,130.05746,160.4247,-0.0,0.9809465,1.687781,0.0,2,0,0,0
77780917,-33.92474737388926,18.866373804188363,130.13727,160.45538,-0.0,0.9808397,1.6873503,0.0,2,0,0,0
78781015,-33.92473577622564,18.866374749864157,130.07582,160.33994,-0.0,0.9808069,1.687867,0.0,2,0,0,0
79781113,-33.924724043900994,18.866375096534377,130.05194,160.25604,-0.0,0.98086184,1.6874425,0.0,2,0,0,0
80781247,-33.924713172907005,18.866375594331526,130.11401,160.25449,-0.0,0.9809558,1.6879615,0.0,2,0,0,0
81781308,-33.92470199152592,18.866375985041298,130.10626,160.18855,-0.0,0.98099697,1.6875339,0.0,2,0,0,0
82781404,-33.924691718921004,18.866377313992153,130.15036,160.18188,-0.0,0.98093176,1.6871066,0.0,2,0,0,0
83781498,-33.92468049174064,18.866378417380282,130.0975,160.06506,-0.0,0.9811817,1.6876253,0.0,2,0,0,0
84781613,-33.92466918469496,18.866379602141542,130.0668,159.9654,-0.0,0.9812655,1.6871971,0.0,2,0,0,0
85781687,-33.924657649100205,18.866380322140124,130.05063,159.88354,-0.0,0.981259,1.6877112,0.0,2,0,0,0
86781780,-33.924646698035005,18.866380998182006,130.03036,159.80801,-0.0,0.9816659,1.6872909,0.0,2,0,0,0
87781947,-33.92463531735064,18.86638210474217,130.08337,159.80856,-0.0,0.98210883,1.6878102,0.0,2,0,0,0
88781964,-33.92462409312074,18.866382815280186,130.03793,159.72023,-0.0,0.9822953,1.6873834,0.0,2,0,0,0
89782052,-33.924613082242395,18.866383294295023,130.1269,159.77742,-0.0,0.9822276,1.6879026,0.0,2,0,0,0
90782142,-33.92460193283485,18.866383717877255,130.12025,159.73897,-0.0,0.9819052,1.6874804,0.0,2,0,0,0
91782231,-33.924591132048796,18.866384389804583,130.14377,159.72528,-0.0,0.9813316,1.6879958,0.0,2,0,0,0
92782352,-33.92457996617415,18.866384862048815,130.18896,159.72137,-0.0,0.98082227,1.687567,0.0,2,0,0,0
93782407,-33.924570019171234,18.86638596176075,130.1268,159.60422,-0.0,0.98053247,1.6871428,0.0,2,0,0,0
94782522,-33.92457319240973,18.866386670429943,129.93169,159.35544,-0.0,0.9808532,1.6876585,0.0,2,0,0,0
95782577,-33.92458419155482,18.866387399021352,129.83804,159.24167,-0.0,0.9812328,1.6872294,0.0,2,0,0,0
96782660,-33.92459702533756,18.86638769686299,129.99236,159.41318,-0.0,0.9812632,1.6877449,0.0,2,0,0,0
97782741,-33.92461029525744,18.866388215566403,130.00919,159.46806,-0.0,0.9814439,1.6873187,0.0,2,0,0,0
98782819,-33.92462178894663,18.866388349136063,130.05786,159.57195,-0.0,0.9815126,1.6878415,0.0,2,0,0,0
99782896,-33.924632474137496,18.86638717601212,130.14612,159.71652,-0.0,0.9815678,1.6874176,0.0,2,0,0,0
100782970,-33.924642049893826,18.86638589038411,130.21826,159.83633,-0.0,0.9817474,1.6879358,0.0,2,0,0,0
101783043,-33.92465245986152,18.866384948260663,130.23553,159.89551,-0.0,0.981593,1.6875132,0.0,2,0,0,0
102783114,-33.92466298900952,18.866384246704374,130.31715,160.0152,-0.0,0.9813679,1.687092,0.0,2,0,0,0
103783183,-33.92467479876348,18.866384537098103,130.13522,159.86821,-0.0,0.9812298,1.6876103,0.0,2,0,0,0
104783251,-33.92468597844621,18.866384727650075,130.04787,159.82701,-0.0,0.9812106,1.6871834,0.0,2,0,0,0
105783318,-33.92469731207895,18.86638476020982,130.01633,159.85107,-0.0,0.98117906,1.6877055,0.0,2,0,0,0
106783383,-33.92470773667797,18.866384700255853,130.05946,159.9597,-0.0,0.98106396,1.6872797,0.0,2,0,0,0
107783446,-33.924718415161614,18.86638430180002,130.07521,160.03723,-0.0,0.9810797,1.6877971,0.0,2,0,0,0
108783550,-33.92472864208736,18.866383768271717,130.095,160.11111,-0.0,0.98121357,1.6873671,0.0,2,0,0,0
