timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
10269245,0.4826612,0.92900264,-0.0017919583,0.0,0.0,0.0
10273981,0.48267174,0.9289556,-0.0017927892,0.0,0.0,0.0
10303909,0.48329306,0.92863613,0.002251746,0.0,0.0,-0.001
10334078,0.4831091,0.92864573,0.0021883894,0.0,0.0,-0.001
10369017,0.4831842,0.9284867,0.0022084618,0.0,0.0,-0.001
10398985,0.48306096,0.92850894,0.0022358387,0.0,0.0,-0.001
10433948,0.48298955,0.9285699,0.0022762818,0.0,0.0,-0.001
10468983,0.48283055,0.92864895,0.0022759405,0.0,0.0,-0.001
10499039,0.4826945,0.92851585,0.0022454946,0.0,0.0,-0.001
10533948,0.48260874,0.9283579,0.0022830823,0.0,0.0,-0.001
10563872,0.48232543,0.9284606,0.0022439978,0.0,0.0,-0.001
10598917,0.4824096,0.9284335,0.0022569231,0.0,0.0,-0.001
10633954,0.48231307,0.928477,0.002323191,0.0,0.0,-0.001
10668935,0.482301,0.92836565,0.0022770346,0.0,0.0,-0.001
10698921,0.48227423,0.9283567,0.0022540502,0.0,0.0,-0.001
10728876,0.48213106,0.928441,0.0022518013,0.0,0.0,-0.001
10763889,0.4823266,0.92855513,0.002241486,0.0,0.0,-0.001
10794033,0.48222393,0.92844594,0.0022685186,0.0,0.0,-0.001
10829036,0.4822074,0.9284946,0.002241835,0.0,0.0,-0.001
10863965,0.4822615,0.928455,0.002264038,0.0,0.0,-0.001
10898946,0.48197788,0.92842454,0.0022495643,0.0,0.0,-0.001
10929017,0.4819833,0.9284029,0.002273165,0.0,0.0,-0.001
10964050,0.48206484,0.9283903,0.0022736352,0.0,0.0,-0.001
10993984,0.48215908,0.92837346,0.0023118628,0.0,0.0,-0.001
11028929,0.48208103,0.9282493,0.0023228189,0.0,0.0,-0.001
11064002,0.48209095,0.92819476,0.0023081715,0.0,0.0,-0.001
11094021,0.4822037,0.9281632,0.0023708842,0.0,0.0,-0.001
11128975,0.4823581,0.9281487,0.0023007072,0.0,0.0,-0.001
11158918,0.48216867,0.92816603,0.0022582535,0.0,0.0,-0.001
11193927,0.48204744,0.92827153,0.0022989083,0.0,0.0,-0.001
11229065,0.48183602,0.9282672,0.0022789487,0.0,0.0,-0.001
11259055,0.48188812,0.9282707,0.0022574267,0.0,0.0,-0.001
11293998,0.48179102,0.9281606,0.0023122968,0.0,0.0,-0.001
11324047,0.48167673,0.9282284,0.0022941723,0.0,0.0,-0.001
11359057,0.48167384,0.928107,0.002256896,0.0,0.0,-0.001
11389042,0.48152846,0.9279842,0.0023004974,0.0,0.0,-0.001
11424064,0.4814729,0.92788124,0.002282166,0.0,0.0,-0.001
11459104,0.48140392,0.9278866,0.0022699395,0.0,0.0,-0.001
11489021,0.48140737,0.92784137,0.0023265723,0.0,0.0,-0.001
11523981,0.48126343,0.9280007,0.0022955874,0.0,0.0,-0.001
11553963,0.48125333,0.92787623,0.002319908,0.0,0.0,-0.001
11589077,0.4811798,0.92774916,0.0023057298,0.0,0.0,-0.001
11624104,0.48099202,0.9278822,0.0022684077,0.0,0.0,-0.001
11658986,0.48093063,0.92781126,0.002256494,0.0,0.0,-0.001
11688980,0.48087192,0.92789924,0.0022793375,0.0,0.0,-0.001
11719100,0.48072785,0.92785454,0.0022545424,0.0,0.0,-0.001
11754140,0.4808551,0.9278153,0.002280621,0.0,0.0,-0.001
11789035,0.4808012,0.92770666,0.0022522935,0.0,0.0,-0.001
11824058,0.48052984,0.9276604,0.0022335807,0.0,0.0,-0.001
11854131,0.48041844,0.9278195,0.00224522,0.0,0.0,-0.001
11889088,0.48051652,0.927778,0.0022105945,0.0,0.0,-0.001
11919075,0.48043564,0.92776525,0.0022386052,0.0,0.0,-0.001
11949039,0.48032922,0.9278297,0.0022151854,0.0,0.0,-0.001
11984112,0.4802515,0.92763716,0.0021990142,0.0,0.0,-0.001
12019078,0.47998682,0.9278435,0.002212076,0.0,0.0,-0.001
12054075,0.4798372,0.92784417,0.0021582872,0.0,0.0,-0.001
12084027,0.4797613,0.92779404,0.0021853745,0.0,0.0,-0.001
12114024,0.47977027,0.9277154,0.0021386656,0.0,0.0,-0.001
12149145,0.47990677,0.9274968,0.0021531717,0.0,0.0,-0.001
12184162,0.47973514,0.9273401,0.0021782273,0.0,0.0,-0.001
12219101,0.47986096,0.92742735,0.0022144583,0.0,0.0,-0.001
12249098,0.4798501,0.92749244,0.002173221,0.0,0.0,-0.001
12284161,0.4798,0.92753464,0.0021941941,0.0,0.0,-0.001
12314194,0.4797515,0.9275228,0.0021291007,0.0,0.0,-0.001
12349115,0.47978336,0.92746425,0.0021546443,0.0,0.0,-0.001
12384115,0.4796896,0.9274268,0.0021884153,0.0,0.0,-0.001
12414146,0.47977182,0.9273207,0.0021594237,0.0,0.0,-0.001
12449157,0.47967482,0.9272561,0.002187785,0.0,0.0,-0.001
12479062,0.4795506,0.9273511,0.0021883738,0.0,0.0,-0.001
12514122,0.47945046,0.92752284,0.002207245,0.0,0.0,-0.001
12544146,0.4793296,0.9275855,0.0022196837,0.0,0.0,-0.001
12579122,0.4792313,0.927558,0.0022303364,0.0,0.0,-0.001
12614088,0.47929507,0.92744493,0.0022278328,0.0,0.0,-0.001
12644177,0.47919142,0.92747873,0.0022292924,0.0,0.0,-0.001
12679245,0.47914135,0.92743146,0.002234437,0.0,0.0,-0.001
12709239,0.4792199,0.92743033,0.002209526,0.0,0.0,-0.001
12744192,0.47928476,0.9274057,0.002222959,0.0,0.0,-0.001
12779187,0.47927138,0.92733413,0.0022229743,0.0,0.0,-0.001
12814258,0.4792962,0.9271603,0.0022211005,0.0,0.0,-0.001
12844267,0.4792797,0.92704386,0.0022331122,0.0,0.0,-0.001
12874183,0.4792832,0.9268724,0.0022312647,0.0,0.0,-0.001
12909124,0.47922105,0.9268024,0.002201674,0.0,0.0,-0.001
12944248,0.4793192,0.92679965,0.002228164,0.0,0.0,-0.001
12979188,0.47923255,0.92685723,0.00221087,0.0,0.0,-0.001
13009286,0.47922522,0.92693114,0.0022327614,0.0,0.0,-0.001
13044137,0.4791573,0.9270748,0.002236795,0.0,0.0,-0.001
13074140,0.4791448,0.92709124,0.002239866,0.0,0.0,-0.001
13104257,0.47917145,0.92700034,0.0022289013,0.0,0.0,-0.001
13139292,0.47932315,0.9270325,0.0022174278,0.0,0.0,-0.001
13174196,0.47925973,0.9272111,0.0022186183,0.0,0.0,-0.001
13209208,0.47908986,0.92714477,0.0022380196,0.0,0.0,-0.001
13239267,0.4790403,0.9271455,0.0022307066,0.0,0.0,-0.001
13274246,0.47890303,0.9271884,0.002224594,0.0,0.0,-0.001
13304259,0.478798,0.92710423,0.0022183147,0.0,0.0,-0.001
13339216,0.47844458,0.9270671,0.0022127784,0.0,0.0,-0.001
13374235,0.47828314,0.9270555,0.0021851726,0.0,0.0,-0.001
13404233,0.4782243,0.92721045,0.0022108306,0.0,0.0,-0.001
13439274,0.4783342,0.9272801,0.00220745,0.0,0.0,-0.001
13469177,0.47831878,0.92718655,0.0021841528,0.0,0.0,-0.001
13504242,0.4783184,0.9272032,0.0021523957,0.0,0.0,-0.001
13539321,0.47815478,0.927164,0.0022055625,0.0,0.0,-0.001
13569304,0.47815576,0.9271556,0.00214706,0.0,0.0,-0.001
13604257,0.47805357,0.92705476,0.0021684757,0.0,0.0,-0.001
13634254,0.4777625,0.926966,0.002129008,0.0,0.0,-0.001
13669311,0.47781408,0.9270116,0.0021262185,0.0,0.0,-0.001
13699309,0.47763374,0.926867,0.0021122529,0.0,0.0,-0.001
13734256,0.47758344,0.92697614,0.0020764475,0.0,0.0,-0.001
13769248,0.4776114,0.9270779,0.0020233272,0.0,0.0,-0.001
13799326,0.4776987,0.9272196,0.0021734172,0.0,0.0,-0.001
13834263,0.47759688,0.927285,0.0020314197,0.0,0.0,-0.001
13864338,0.47781375,0.92739403,0.0021121623,0.0,0.0,-0.001
13899273,0.47773165,0.92735326,0.0020545297,0.0,0.0,-0.001
13934333,0.4778598,0.927361,0.0021053336,0.0,0.0,-0.001
13969229,0.47776672,0.9274003,0.0020495118,0.0,0.0,-0.001
13999281,0.47762558,0.92746675,0.002160945,0.0,0.0,-0.001
14029362,0.47758585,0.9274247,0.0021612665,0.0,0.0,-0.001
14064352,0.47744748,0.9274014,0.0019944124,0.0,0.0,-0.001
14099317,0.47741574,0.92729914,0.0020406872,0.0,0.0,-0.001
14134419,0.47723222,0.9272934,0.0018622068,0.0,0.0,-0.001
14164361,0.47726062,0.92744535,0.0020922008,0.0,0.0,-0.001
14199346,0.47724202,0.9274535,0.002161827,0.0,0.0,-0.001
14229304,0.47719386,0.9274914,0.0021628258,0.0,0.0,-0.001
14259312,0.47712028,0.9275052,0.0020526976,0.0,0.0,-0.001
14294400,0.47726184,0.92762107,0.002117252,0.0,0.0,-0.001
14329336,0.4772532,0.9277514,0.0020591216,0.0,0.0,-0.001
14364275,0.47715452,0.9278595,0.0021281638,0.0,0.0,-0.001
14394289,0.47715425,0.92784595,0.0020151548,0.0,0.0,-0.001
14429391,0.47731355,0.9278602,0.00216926,0.0,0.0,-0.001
14459334,0.47705412,0.92821026,0.0020921712,0.0,0.0,-0.001
14494407,0.47698584,0.92834777,0.002142098,0.0,0.0,-0.001
14529375,0.4771217,0.928564,0.002182893,0.0,0.0,-0.001
