timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
10453386,0.0,0.0,0.0016244757,0.0,0.99999964,0.0,0.0,0.0008122378,0.0,0.0,-0.001,0,0,0,0,0
10473389,0.0,0.0,0.0015802991,0.0,0.9999997,0.0,0.0,0.0007901495,0.0,0.0,-0.001,0,0,0,0,0
10493390,0.0,0.0,0.0015474963,0.0,0.9999997,0.0,0.0,0.00077374815,0.0,0.0,-0.001,0,0,0,0,0
10513394,0.0,0.0,0.0015204292,0.0,0.9999997,0.0,0.0,0.0007602146,0.0,0.0,-0.001,0,0,0,0,0
10553402,0.0,0.0,0.0014407847,0.0,0.99999976,0.0,0.0,0.0007203923,0.0,0.0,-0.001,0,0,0,0,0
10573401,0.0,0.0,0.0014351503,0.0,0.99999976,0.0,0.0,0.0007175751,0.0,0.0,-0.001,0,0,0,0,0
10613403,0.0,0.0,0.001367862,0.0,0.99999976,0.0,0.0,0.000683931,0.0,0.0,-0.001,0,0,0,0,0
10653407,0.0,0.0,0.0012059412,0.0,0.9999998,0.0,0.0,0.0006029706,0.0,0.0,-0.001,0,0,0,0,0
10673410,0.0,0.0,0.001153683,0.0,0.9999998,0.0,0.0,0.0005768415,0.0,0.0,-0.001,0,0,0,0,0
10713413,0.0,0.0,0.0010720277,0.0,0.9999999,0.0,0.0,0.0005360139,0.0,0.0,-0.001,0,0,0,0,0
10753418,0.0,0.0,0.0010747066,0.0,0.9999999,0.0,0.0,0.00053735333,0.0,0.0,-0.001,0,0,0,0,0
10773420,0.0,0.0,0.001069246,0.0,0.9999999,0.0,0.0,0.00053462305,0.0,0.0,-0.001,0,0,0,0,0
10813424,0.0,0.0,0.0010351138,0.0,0.9999999,0.0,0.0,0.00051755685,0.0,0.0,-0.001,0,0,0,0,0
10853431,0.0,0.0,0.0010152195,0.0,0.9999999,0.0,0.0,0.00050760974,0.0,0.0,-0.001,0,0,0,0,0
10873431,0.0,0.0,0.000962872,0.0,0.9999999,0.0,0.0,0.00048143597,0.0,0.0,-0.001,0,0,0,0,0
10913435,0.0,0.0,0.0008755462,0.0,0.9999999,0.0,0.0,0.00043777312,0.0,0.0,-0.001,0,0,0,0,0
10953439,0.0,0.0,0.0007822209,0.0,0.99999994,0.0,0.0,0.0003911105,0.0,0.0,-0.001,0,0,0,0,0
10973441,0.0,0.0,0.000734869,0.0,0.99999994,0.0,0.0,0.00036743455,0.0,0.0,-0.001,0,0,0,0,0
11013492,0.0,0.0,0.00059635844,0.0,0.99999994,0.0,0.0,0.00029817922,0.0,0.0,-0.001,0,0,0,0,0
11053452,0.0,0.0,0.00036237447,0.0,1.0,0.0,0.0,0.00018118724,0.0,0.0,-0.001,0,0,0,0,0
11073452,0.0,0.0,0.00023252306,0.0,1.0,0.0,0.0,0.00011626153,0.0,0.0,-0.001,0,0,0,0,0
11113456,-0.0,-0.0,-1.1903885e-05,0.0,1.0,-0.0,0.0,-5.9519425e-06,0.0,0.0,-0.001,0,0,0,0,0
11153460,-0.0,-0.0,-0.00016694484,0.0,1.0,-0.0,0.0,-8.347242e-05,0.0,0.0,-0.001,0,0,0,0,0
11173463,-0.0,-0.0,-0.00024766018,0.0,1.0,-0.0,0.0,-0.00012383009,0.0,0.0,-0.001,0,0,0,0,0
11213467,-0.0,-0.0,-0.00035940993,0.0,1.0,-0.0,0.0,-0.00017970496,0.0,0.0,-0.001,0,0,0,0,0
11233469,-0.0,-0.0,-0.00040664215,0.0,1.0,-0.0,0.0,-0.00020332108,0.0,0.0,-0.001,0,0,0,0,0
11273479,-0.0,-0.0,-0.00052476244,0.0,0.99999994,-0.0,0.0,-0.00026238125,0.0,0.0,-0.001,0,0,0,0,0
11313477,-0.0,-0.0,-0.0006890171,0.0,0.99999994,-0.0,0.0,-0.00034450856,0.0,0.0,-0.001,0,0,0,0,0
11333479,-0.0,-0.0,-0.0008054006,0.0,0.99999994,-0.0,0.0,-0.00040270033,0.0,0.0,-0.001,0,0,0,0,0
11373484,-0.0,-0.0,-0.00096211117,0.0,0.9999999,-0.0,0.0,-0.00048105555,0.0,0.0,-0.001,0,0,0,0,0
11413489,-0.0,-0.0,-0.0011194601,0.0,0.9999999,-0.0,0.0,-0.00055973005,0.0,0.0,-0.001,0,0,0,0,0
11433490,-0.0,-0.0,-0.0012200526,0.0,0.9999998,-0.0,0.0,-0.0006100263,0.0,0.0,-0.001,0,0,0,0,0
11473503,-0.0,-0.0,-0.0014398786,0.0,0.99999976,-0.0,0.0,-0.00071993924,0.0,0.0,-0.001,0,0,0,0,0
11513498,-0.0,-0.0,-0.0016819085,0.0,0.99999964,-0.0,0.0,-0.00084095425,0.0,0.0,-0.001,0,0,0,0,0
11533501,-0.0,-0.0,-0.0017988264,0.0,0.9999996,-0.0,0.0,-0.00089941313,0.0,0.0,-0.001,0,0,0,0,0
11573505,-0.0,-0.0,-0.0019671633,0.0,0.9999995,-0.0,0.0,-0.0009835815,0.0,0.0,-0.001,0,0,0,0,0
11613509,-0.0,-0.0,-0.0021114296,0.0,0.99999946,-0.0,0.0,-0.0010557146,0.0,0.0,-0.001,0,0,0,0,0
11633514,-0.0,-0.0,-0.0021819682,0.0,0.9999994,-0.0,0.0,-0.001090984,0.0,0.0,-0.001,0,0,0,0,0
