timestamp,timestamp_sample,device_id,error_count,pressure,temperature
6773579,6772658,6780433,0,1001.0135,18.75
6817196,6815998,6780433,0,1000.98816,18.75
6860220,6859293,6780433,0,1001.03937,18.76
6903537,6902589,6780433,0,1000.96277,18.75
6946840,6945892,6780433,0,1000.9933,18.75
6990078,6989158,6780433,0,1000.9985,18.75
7033385,7032458,6780433,0,1000.99054,18.75
7076819,7075885,6780433,0,1001.02905,18.76
7120035,7119089,6780433,0,1000.9937,18.76
7163427,7162358,6780433,0,1000.996,18.75
7206582,7205659,6780433,0,1000.9985,18.75
7249879,7248959,6780433,0,1000.99335,18.75
7293189,7292269,6780433,0,1000.9911,18.75
7336593,7335612,6780433,0,1001.00616,18.75
7379807,7378886,6780433,0,1000.99866,18.75
7423109,7422186,6780433,0,1001.01624,18.75
7466379,7465459,6780433,0,1000.99304,18.75
7509709,7508767,6780433,0,1001.0029,18.74
7553125,7552174,6780433,0,1000.99866,18.75
7596279,7595359,6780433,0,1001.0162,18.75
7639721,7638660,6780433,0,1001.0135,18.75
7682912,7681958,6780433,0,1001.01624,18.75
7726189,7725270,6780433,0,1001.0215,18.76
7769481,7768559,6780433,0,1001.0116,18.76
7812809,7811889,6780433,0,1001.00903,18.76
7856091,7855172,6780433,0,1001.01373,18.75
7899407,7898459,6780433,0,1001.0216,18.76
7942815,7941779,6780433,0,1001.0194,18.76
7985980,7985059,6780433,0,1001.0168,18.76
8029410,8028456,6780433,0,1001.00684,18.76
8072577,8071658,6780433,0,1001.02734,18.77
8115969,8114960,6780433,0,1000.9996,18.77
8159222,8158269,6780433,0,1000.97687,18.77
8202503,8201583,6780433,0,1000.9996,18.77
8245779,8244858,6780433,0,1001.02026,18.77
8289115,8288193,6780433,0,1000.9744,18.77
8332378,8331458,6780433,0,1001.02545,18.77
8375761,8374838,6780433,0,1000.9951,18.77
8418978,8418058,6780433,0,1001.0107,18.779999
8462318,8461358,6780433,0,1001.0078,18.77
8505730,8504770,6780433,0,1000.9979,18.779999
8548883,8547962,6780433,0,1001.031,18.779999
8592322,8591267,6780433,0,1000.9904,18.779999
8635478,8634558,6780433,0,1001.0293,18.789999
8678779,8677858,6780433,0,1001.00903,18.789999
