timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
4949269,4949062,-0.003474616,0.002222796,0.00020690188
4984275,4984068,-0.0027256266,0.001960667,0.0007124375
5015520,5015318,-0.0041380837,0.0022507678,0.0017362487
5048027,5047821,-0.0027357673,0.0013498868,0.0011066828
5083033,5082826,-0.0029751372,0.002257085,0.002833204
5114286,5114079,-0.002977294,0.0020922385,0.0032242532
5149292,5149082,-0.0027581456,0.0016067139,0.0051928503
5180539,5180335,-0.0021690389,0.0013048152,0.0056144907
5215548,5215345,-0.003022425,0.0015957371,0.006578804
5246794,5246592,-0.003188792,0.0016455415,0.004829484
5278053,5277846,-0.0024539446,0.0011075926,0.0070005716
5313058,5312849,-0.0021589936,0.0018526338,0.007855386
5345573,5345352,-0.0018180113,0.002017751,0.009887622
5380567,5380356,-0.0019698422,0.0008689657,0.009407383
5411809,5411609,-0.0021227717,0.0028126442,0.009845192
5446818,5446613,-0.0017787119,0.0011613328,0.011552009
5478083,5477866,-0.002031219,0.0016229886,0.01101556
5509327,5509120,-0.0018634883,0.0012501867,0.012746676
5544334,5544125,-0.001870863,0.0019576943,0.011838274
5575580,5575376,-0.0017673484,0.0014734793,0.012125974
5610581,5610380,-0.00073135697,0.0019819424,0.013254002
5643100,5642882,-0.0020656895,0.0019847525,0.012464213
5678107,5677887,-0.0016113209,0.001652267,0.013177475
5709350,5709141,-0.0014292758,0.0015598477,0.013526284
5740609,5740406,-0.001695095,0.0016684114,0.0126835285
5775601,5775397,-0.00130543,0.0017094829,0.012028992
5806852,5806650,-0.002478635,0.0020282764,0.011377633
5841876,5841675,-0.002025897,0.0014105202,0.01121904
5873167,5872959,-0.002381969,0.0014968532,0.011314929
5908121,5907912,-0.001100124,0.0015065508,0.011873524
5939369,5939164,-0.0012090096,0.0016357008,0.011662556
5971875,5971667,-0.0009919399,0.001120361,0.011964613
6006877,6006676,-0.0018197133,0.0019280979,0.010673957
6038144,6037929,-0.0018030304,0.0016241434,0.010091595
6073144,6072929,-0.0010050415,0.0010949402,0.010106987
6104389,6104181,-0.000552695,0.0013226215,0.009310994
6139392,6139184,-0.0007340586,0.0015517287,0.0089325
6170642,6170439,-0.0023145326,0.00037941043,0.008793962
6201892,6201691,-0.002076437,0.0019584482,0.008866093
6236896,6236694,-0.0025148173,0.0009458723,0.008701177
6269404,6269198,-0.001593339,0.0004239199,0.006972684
6304416,6304201,-0.0013667679,0.0009983523,0.006686038
6335657,6335455,-0.0012715738,0.0007417238,0.006696012
6370661,6370458,-0.001339532,0.000467802,0.0051903105
6401915,6401711,-0.0017809012,0.00085706083,0.005036395
6433170,6432965,-0.0007570431,0.00057165447,0.005294037
6468186,6467973,-0.0007542841,0.0006197784,0.00510053
6499425,6499222,-0.0020924876,0.0006885653,0.0045990613
6534435,6534226,-0.0012164812,0.0008485816,0.004986188
6566935,6566729,-0.001306141,0.0005656698,0.0050574397
6601937,6601732,-0.0008783985,0.00074718834,0.0041328007
6633231,6633020,-0.001010152,0.0014738118,0.0044894284
6664448,6664239,-0.0015918277,0.0009532121,0.0036849524
6699479,6699276,-0.00089312467,0.00016924973,0.0054086093
6730699,6730496,-2.1488007e-05,-0.00021941948,0.0040594307
6765706,6765499,-0.0013278929,0.0004952217,0.0034215017
6796957,6796752,-0.0017387838,0.00062451744,0.0048985747
6831966,6831756,-0.0014536278,0.00063043257,0.0046934844
6864465,6864259,-0.0012206031,0.00081267307,0.004178246
6895721,6895514,-0.0010367322,0.00070681644,0.003569175
6930718,6930516,-0.0013183733,0.0005534048,0.004960176
6961973,6961772,-0.0016127162,0.00013766368,0.004284991
6996975,6996773,-0.0012193708,0.00019684795,0.004010675
7028237,7028026,-0.0012989686,-0.00022400344,0.004544743
7063245,7063030,-0.00032526322,0.00088289124,0.0041982154
7094501,7094295,-0.001062075,0.0002347931,0.0033870619
7127002,7126787,-0.00096963276,0.0012301857,0.0040224306
7162009,7161808,-0.0005113301,9.4029005e-05,0.004486855
7193256,7193044,-0.0005622792,-0.000566524,0.0040670345
7228259,7228047,-0.0012925221,0.00019716303,0.0040137675
7259511,7259303,-0.00078883144,7.749029e-05,0.0041833716
7294515,7294305,-0.0005317071,-4.9917675e-05,0.0044446634
7325765,7325558,-0.00033489757,0.0002412122,0.0045181382
7357020,7356811,-0.00030452476,1.0657668e-05,0.0041790586
7392047,7391844,-0.0007219368,7.402676e-05,0.0046362043
7424526,7424318,-0.00028755906,0.00017746334,0.004620122
7459526,7459322,-0.00045213383,0.0002054456,0.0043222494
7490779,7490575,-0.0011108196,0.0006924936,0.0037511706
7525824,7525620,-5.0667342e-05,0.00038116306,0.004352448
7557034,7556831,0.00042382503,-0.00053389254,0.004068795
7588303,7588085,-0.00033430004,0.00035856816,0.003447757
7623295,7623088,-0.00031209062,0.0005547012,0.00356594
7654561,7654358,-0.0014875351,0.0013176351,0.003041264
7689554,7689350,-0.0013215867,0.00060328736,0.0044224327
7722059,7721849,-0.00093750394,7.481514e-05,0.0033707852
7753309,7753105,-0.0008932308,-0.00012655841,0.0032467141
7788315,7788106,-0.00038335522,7.5710877e-06,0.0026052617
7819563,7819359,-0.0008372123,-6.354972e-05,0.0027594292
7854576,7854363,-0.000109616085,-0.001118454,0.0018200994
7885857,7885652,-0.00090861716,-0.00017794379,0.0029462602
7920822,7920619,4.2088363e-05,-0.0005518638,0.0024090388
7952075,7951873,-0.0005280442,0.0011610865,0.0028419585
