time,angle.x,angle.y,vel.x,vel.y,vel.z,vel_sp.x,vel_sp.y,vel_sp.z,acc_sp.x,acc_sp.y,acc_sp.z
287.192816635161,-3.54421333814076,-1.43049210159687,-0.712851451058451,0.15551000602132,0.0591964710443896,0.993136190888306,0.116959978430078,-0.03362731,3.20852318970456,-0.394638536008734,-0.702636260646499
287.222816635161,-4.45181905123973,-2.25340775591283,-0.630903499969099,0.17932813318351,0.051430800357518,0.99292827,0.11871582,-0.03362731,2.96406417968789,-0.450518337467601,-0.597808730449286
287.252816635161,-5.06012225207501,-3.30565223433839,-0.548915401087578,0.201150053786278,0.0439122390837409,0.99292827,0.11871582,-0.03362731,2.90124039707528,-0.50658093590578,-0.586132501247001
287.282816635161,-5.40729937506385,-3.66855537269294,-0.471495341024857,0.224332392764551,0.0396783662743529,0.99292827,0.11871582,-0.03362731,2.83345845839086,-0.531514612934162,-0.537344266616848
287.312816635161,-6.14308616887282,-3.99869274987929,-0.379247157240121,0.240207966530655,0.0327280298598008,0.99292827,0.11871582,-0.03362731,2.61864169770618,-0.604817360315978,-0.504821058340777
287.342816635161,-6.30104749383827,-4.9852836326017,-0.290792168978685,0.24742821466226,0.0388172430383968,0.99292827,0.11871582,-0.03362731,2.5091768703261,-0.498343250217312,-0.546441777629432
287.372816635161,-6.97016615332362,-6.67809820413298,-0.193822704959488,0.253210604943351,0.04863508281938,0.99292827,0.11871582,-0.03362731,2.29413342624766,-0.395500449491145,-0.594757722802888
287.402816635161,-6.98607544093771,-7.93494919609963,-0.134383478094035,0.252314094228707,0.0705275297315722,0.993212298676331,0.116305505184323,-0.03362731,2.38550603657908,-0.380125915900178,-0.757477011007512
287.432816635161,-7.1028107947608,-9.17920576682742,-0.0533014360411759,0.242946105730745,0.0732939111659064,0.993959496208709,0.10972358432956,-0.03362731,2.30483541864087,-0.376869373747387,-0.824734287142408
287.462816635161,-7.36622631341479,-10.6159409574627,0.00195126894716726,0.229971830097551,0.0845423486944603,0.994590309976137,0.10387128692717,-0.03362731,2.37320372922558,-0.322900810432607,-0.926299425433088
287.492816635161,-7.28934161769906,-12.1990185440948,0.070959386628185,0.226688917151181,0.0791995541253633,0.994726580708773,0.102554137292714,-0.03362731,2.29328518926249,-0.261696216509237,-0.869300376613499
287.522816635161,-6.98746993675198,-13.4296705438394,0.121923484078279,0.215096546308416,0.0900695122851945,0.995213718295715,0.097711661278449,-0.03362731,2.36810401180404,-0.226272198543092,-0.948809251594864
287.552816635161,-7.23152737222216,-14.9647210117945,0.177420678526745,0.202432737720684,0.0777188997697261,0.99532700911296,0.0965607321017849,-0.03362731,2.24621247850701,-0.245265876540235,-0.850518972251804
287.582816635161,-7.42488640431568,-16.01948045249,0.218095942642319,0.196976024332647,0.0781550572401838,0.99540794,0.09572307,-0.03362731,2.2882430132223,-0.27104865160206,-0.815672743950084
287.612816635161,-6.87041243046662,-17.4378426029894,0.274145055418595,0.190911744309413,0.0531136857441592,0.99540794,0.09572307,-0.03362731,2.27251853796682,-0.274826741230779,-0.680473299356171
287.642816635161,-7.32578543763333,-18.3926835906836,0.296737167624436,0.18883162287132,0.0503376777728266,0.99540794,0.09572307,-0.03362731,2.39381219998574,-0.274876484518699,-0.646130833482056
287.672816635161,-6.97161412313314,-19.2617568225563,0.341163944870505,0.191132370337808,0.0277873132732406,0.99540794,0.09572307,-0.03362731,2.25151085225696,-0.311637443230833,-0.430331869774769
287.702816635161,-6.76049100296143,-20.1227506235155,0.368746874232828,0.191244301314519,0.0224954976984179,0.99540794,0.09572307,-0.03362731,2.28048594930316,-0.314258172772241,-0.378261534559355
287.732816635161,-6.84040762306202,-20.7398354473912,0.407453908059617,0.195651873228645,0.00972661690125122,0.99540794,0.09572307,-0.03362731,2.26932691771856,-0.351192709530985,-0.296905883996068
287.762816635161,-6.3406408783973,-21.3787877151553,0.433874505015985,0.204050856412768,0.0101435863721349,0.99540794,0.09572307,-0.03362731,2.306625076534,-0.390208201908743,-0.288438517909681
287.792816635161,-5.97948430459392,-21.7674853534268,0.458759896080974,0.212211438409503,-0.0011943476223694,0.99540794,0.09572307,-0.03362731,2.29637307632338,-0.413451628159583,-0.2039453452501
287.822816635161,-5.65037590709466,-22.3370794852837,0.494480856106744,0.22167201398777,-0.017756482943473,0.99540794,0.09572307,-0.03362731,2.19629793785823,-0.488880453258013,-0.078056939547094
287.852816635161,-5.27773911717333,-22.677333893681,0.52119300321937,0.228150907342931,-0.0196601544997711,0.995531713032383,0.0944264473778168,-0.03362731,2.21706299925676,-0.579457883745527,-0.0884266029796676
287.882816635161,-4.21534860567279,-22.7134533413853,0.530960603449475,0.236059487886737,-0.0287026504402687,0.995821131551882,0.0913139943702633,-0.03362731,2.282292430996,-0.547987787581579,-0.0143331993483182
287.912816635161,-3.87280008576158,-22.5605754020668,0.56532195021259,0.242435915375192,-0.0461607854495939,0.9962786,0.08619128,-0.03362731,2.20308846629252,-0.470871662091948,0.146715533495897
287.942816635161,-3.42592119314676,-22.3017794295415,0.587287053319348,0.255211932885902,-0.0530042867467306,0.996531503490339,0.0831939731135938,-0.03362731,2.22819029721878,-0.554535792372524,0.201886754611816
287.972816635161,-2.46323946508048,-22.0679806891022,0.603763193292803,0.264356625105721,-0.0620699439188846,0.99671763,0.08095661,-0.03362731,2.22443377483118,-0.611709681314489,0.256161644133155
288.002816635161,-1.44617460722882,-21.6552010008396,0.63021947015221,0.272195695535781,-0.0680768756977048,0.996777832569975,0.0802113547948415,-0.03362731,2.11865659902702,-0.596592592687453,0.319085657008205
