t,angle.x,angle.y,vel.x,vel.y,vel.z,vel_sp.x,vel_sp.y,vel_sp.z,acc_sp.x,acc_sp.y,acc_sp.z
218.759741,-29.0561632659295,-1.89747012187751,0.0110381414777999,0.0133238073796001,0.0372883414083,NaN,NaN,NaN,0,0,100
218.789741,-29.0161375664692,-1.86494544341475,0.010930176441456,0.0131707828235176,0.0375354958714128,NaN,NaN,NaN,0,0,100
218.819741,-29.0268714002563,-1.90424429674924,0.0111195647800479,0.0130372624028374,0.0377831120108902,NaN,NaN,NaN,0,0,100
218.849741,-28.8182289376889,-1.90540205100254,0.0113335535039989,0.0125938134870511,0.0377927076144387,NaN,NaN,NaN,0,0,100
218.879741,-28.8186852854171,-1.90874828853199,0.0108804777499999,0.0117433558473999,0.0375437591500002,NaN,NaN,NaN,0,0,100
218.909741,-28.9668383817029,-1.90283375818406,0.0126108186760143,0.011123561919451,0.0367842913096659,NaN,NaN,NaN,0,0,100
218.939741,-28.9972444583756,-1.97325047318021,0.0129787190752,0.0115938310014,0.037136892214,NaN,NaN,NaN,0,0,100
218.969741,-28.9695129751505,-1.87026478708873,0.0129074742720732,0.0111612695438458,0.0371017331086893,NaN,NaN,NaN,0,0,100
218.999741,-29.0615844473766,-1.90433672724168,0.0127488252780719,0.0110730028933103,0.0365645814755524,NaN,NaN,NaN,0,0,100
219.029741,-29.0163345031665,-1.90610609629148,0.0134933098640575,0.0114232653228861,0.036056119139934,NaN,NaN,NaN,0,0,100
219.059741,-29.0913090502115,-1.90707312374962,0.0139307817655235,0.0113490921864813,0.0361516711488851,NaN,NaN,NaN,0,0,100
219.089741,-28.8454426974977,-1.94174849477681,0.0142778877308001,0.0116391789688001,0.0362306585348004,NaN,NaN,NaN,0,0,100
219.119741,-29.0357261860298,-1.9442417160379,0.0146860670282999,0.0117641395153,0.0357850578484001,NaN,NaN,NaN,0,0,100
219.149741,-28.7954956172797,-1.91487474427548,0.0151874351500624,0.0124519777929189,0.0355317132322967,NaN,NaN,NaN,0,0,100
219.179741,-28.9536327735383,-1.94923396909339,0.0162770044229986,0.0118834224755013,0.0348318687580003,NaN,NaN,NaN,0,0,100
219.209741,-28.7703576087858,-1.92937263054885,0.014876554429044,0.0118205954851502,0.0349768246072612,NaN,NaN,NaN,0,0,100
219.239741,-28.9986080641825,-1.92501012725233,0.0164954383237663,0.0103988216552346,0.0348944434376567,NaN,NaN,NaN,0,0,100
219.269741,-28.8079912211215,-1.89536183753404,0.0162151035027997,0.00982271791249949,0.0342287553518005,NaN,NaN,NaN,0,0,100
219.299741,-29.0186454722746,-1.92585699596241,0.015720329362,0.00964929240599954,0.0349427599379994,NaN,NaN,NaN,0,0,100
219.329741,-28.9934229751531,-1.92630727838035,0.0148194056338357,0.00952727559533973,0.0355826745081483,NaN,NaN,NaN,0,0,100
219.359741,-28.9606020138026,-1.9285218746229,0.0158983527291001,0.00962655715299995,0.0355673921499998,NaN,NaN,NaN,0,0,100
219.389741,-29.010661722174,-1.92514209527195,0.0150705756714832,0.00972026219432028,0.0350090486406708,NaN,NaN,NaN,0,0,100
219.419741,-28.859779210504,-1.9309019251903,0.0157215619376058,0.00977357799929907,0.0353647418150183,NaN,NaN,NaN,0,0,100
219.449741,-28.9420434866836,-1.94065027098065,0.015805456714201,0.0104583336292025,0.0347996904464006,NaN,NaN,NaN,0,0,100
219.479741,-28.9857742877285,-1.93477847006938,0.0153595779834012,0.00843995578392098,0.0347519968444149,NaN,NaN,NaN,0,0,100
219.509741,-28.9512755195672,-1.93607458512346,0.0153318853665934,0.0074731485154987,0.0351164206206579,NaN,NaN,NaN,0,0,100
219.539741,-28.9540334648937,-1.9664580784863,0.015490259105925,0.00961024399500305,0.0348423126709304,NaN,NaN,NaN,0,0,100
219.569741,-28.9998891773164,-1.93446576952575,0.0165194377369474,0.00853673217973619,0.0344781763635726,NaN,NaN,NaN,0,0,100
219.599741,-28.9393863256532,-1.92598520221587,0.0155712201976001,0.00747471872104032,0.0344365203359999,NaN,NaN,NaN,0,0,100
219.629741,-29.0801700993752,-1.92301806138298,0.0158196042504999,0.00681568164781983,0.0338166470220999,NaN,NaN,NaN,0,0,100
219.659741,-28.9610089349723,-1.93109501090788,0.0172598315906,0.00872087029299999,0.0331876992378,NaN,NaN,NaN,0,0,100
219.689741,-29.0039565294769,-1.93125211771574,0.016400693155809,0.00812663500100069,0.0329190657254078,NaN,NaN,NaN,0,0,100
219.719741,-28.8066666261656,-1.93116602524618,0.0171565293941608,0.00718515024598558,0.0321421607664233,NaN,NaN,NaN,0,0,100
219.749741,-28.9855343948413,-1.93949099037076,0.0172997940725204,0.00799496107252027,0.0314743503661976,NaN,NaN,NaN,0,0,100
219.779741,-28.9358954441369,-1.93262175890482,0.0174398726793999,0.00895715687080001,0.031033162612,NaN,NaN,NaN,0,0,100
219.809741,-28.9616507790465,-1.94688838200797,0.017963543168,0.00719801321199981,0.0303664669519999,NaN,NaN,NaN,0,0,100
219.839741,-28.9933810641182,-1.86383076320128,0.0180359784435999,0.00716566451680082,0.0297187931051996,NaN,NaN,NaN,0,0,100
219.869741,-28.8161746571211,-1.93385361238131,0.019285199619276,0.00847446144261176,0.0290332760447913,NaN,NaN,NaN,0,0,100
219.899741,-28.9811996279207,-1.93430294296874,0.0187829769934962,0.0063678926693342,0.0285328022691336,NaN,NaN,NaN,0,0,100
219.929741,-28.8984086258296,-1.93550546985946,0.019433568773501,0.00575480493969761,0.0276903639014995,NaN,NaN,NaN,0,0,100
219.959741,-28.9205023407552,-1.93203408592119,0.0201347502731181,0.00671063642461073,0.02709705939318,NaN,NaN,NaN,0,0,100
219.989741,-28.7194466725906,-1.90346352162537,0.0209597690455999,0.00801049864080113,0.0267349545959995,NaN,NaN,NaN,-0.0301438131185149,-0.0139218951363379,32.5275342409038
220.019741,-28.9363117181217,-1.93828330373225,0.0210538143426856,0.00557775377424903,0.0266104195179361,-0.00188772405356602,0.000244606689153801,1.11884145681819,-0.0404852013986014,-0.000183287819441764,9.49682360314693
220.049741,-28.8063792425441,-1.93084554697018,0.0211796998800004,0.00597336816999861,0.0259174635200005,-0.00340541322597798,0.000388530204538064,1.07702654091025,-0.0394008087545997,-0.00843255410529858,9.20060085258898
220.079741,-28.8177622206561,-1.89770216706186,0.0206378866550007,0.00773558904022047,0.0253354417823003,-0.00485667733871379,0.000444798179029875,1.03521152312077,-0.0360948585388924,-0.0211092560045523,8.89695845876665
220.109741,-28.7230858213177,-1.92667335526602,0.020396773375387,0.00650260543953004,0.0251530819117559,-0.0062376438845293,0.000482123366523272,0.993396543515239,-0.0421614492272236,-0.0059473328848795,8.59131548116848
220.139741,-28.7970487454942,-1.90416802523077,0.0219427210530948,0.00551356746540311,0.0245100480983901,-0.00757798385028461,0.000509102200949604,0.951581548726386,-0.0508589214314473,-0.000469918232952405,8.28631802580268
220.169741,-28.8986937093621,-1.9014328516814,0.0206414943883212,0.00686268971195745,0.0233811427976393,-0.0088562504797793,0.00045416452407903,0.909766604694851,-0.0435649957416656,-0.0126339139864499,7.98534725326187
220.199741,-28.9920577248523,-1.89460650058121,0.0232039954043626,0.00548761946663494,0.0240525129617052,-0.0101142045759997,0.000498970327943842,0.867951662008011,-0.0615617916984145,-0.000872663998647479,7.67389620208007
220.229741,-28.7464599117358,-1.89704385897222,0.0219369592822948,0.00334921417295861,0.023374980232399,-0.0113879804220781,0.00108273465795223,0.826136712511902,-0.0595849198909204,0.00664998204402711,7.3646217365934
220.259741,-29.0074629793236,-1.86518689573895,0.0215278604388238,0.00481365110230024,0.0218285228330667,-0.0126085102993849,0.00158319986607667,0.784321735790213,-0.0485658945544678,-0.0123316138383391,7.05398595103247
