current_time,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,pos_sp.x,pos_sp.y,pos_sp.z,vel_sp.x,vel_sp.y,vel_sp.z,acc_sp.x,acc_sp.y,acc_sp.y,payload_angles.x,payload_angles.y,payload_angles.z,simulink_acc_sp.x,simulink_acc_sp.y,simulink_acc_sp.y
1633083984.16883,0.0001333971886197105,0.006621492560952902,-7.2865519523620605,0.005190250929445028,0.00034548426629044116,0.00021289868163876235,0.0,0.0,0.0,-6.640895298914984e-05,-0.00629583140835166,0.0022134780883789062,-0.006028605625033379,-0.010275633074343204,-0.010275633074343204,0.0,0.0,-0.0,0.0,0.0,0.0
1633083984.170033,0.0001333971886197105,0.006621492560952902,-7.2865519523620605,0.005190250929445028,0.00034548426629044116,0.00021289868163876235,0.0,0.0,0.0,-6.640895298914984e-05,-0.00629583140835166,0.0022134780883789062,-0.006028605625033379,-0.010275633074343204,-0.010275633074343204,0.0,0.0,-0.0,0.0,0.0,0.0
1633083984.180226,0.00019475295266602188,0.006671051494777203,-7.286587715148926,0.005084363278001547,0.00020274017879273742,0.00025040723267011344,0.0,0.0,0.0,-0.00018500964506529272,-0.006392084527760744,0.0022611618041992188,-0.006078392267227173,-0.010245763696730137,-0.010245763696730137,0.0,0.0,-0.0,0.0,0.0,0.0
1633083984.190255,0.0002757797483354807,0.0067192548885941505,-7.2866339683532715,0.0049996813759207726,8.146494656102732e-05,0.00029022322269156575,0.0,0.0,0.0,-0.00018500964506529272,-0.006392084527760744,0.0022611618041992188,-0.006078392267227173,-0.010245763696730137,-0.010245763696730137,0.0,0.0,-0.0,0.0,0.0,0.0
1633083984.200196,0.0003358790127094835,0.006765030324459076,-7.286678314208984,0.004945022519677877,5.846557542099617e-06,0.00032742865732870996,0.0,0.0,0.0,-0.00031907937955111265,-0.006481386721134186,0.0023102760314941406,-0.006062519736588001,-0.010021434165537357,-0.010021434165537357,0.0,0.0,-0.0,0.0,0.0,0.0
1633083984.210182,0.0004147042927797884,0.00680864742025733,-7.286719799041748,0.004858108703047037,-0.00011837809142889455,0.0003989345277659595,0.0,0.0,0.0,-0.00031907937955111265,-0.006481386721134186,0.0023102760314941406,-0.006062519736588001,-0.010021434165537357,-0.010021434165537357,0.0,0.0,-0.0,0.0,0.0,0.0
1633083984.220241,0.0004923731903545558,0.006849687546491623,-7.2867584228515625,0.0047697885893285275,-0.00024226486857514828,0.0004335097619332373,0.0,0.0,0.0,-0.0004677488759625703,-0.006561838090419769,0.0023250579833984375,-0.005997661966830492,-0.009674174711108208,-0.009674174711108208,0.0,0.0,-0.0,0.0,0.0,0.0
1633083984.230251,0.0005500979023054242,0.0068892850540578365,-7.286797046661377,0.004712433088570833,-0.00031849974766373634,0.0004328686627559364,0.0,0.0,0.0,-0.0004677488759625703,-0.006561838090419769,0.0023250579833984375,-0.005997661966830492,-0.009674174711108208,-0.009674174711108208,0.0,0.0,-0.0,0.0,0.0,0.0
1633083984.240878,0.00062516302568838,0.006925547029823065,-7.286832332611084,0.004623411688953638,-0.0004386695509310812,0.0004493994638323784,0.0,0.0,0.0,-0.0005938992253504694,-0.00663392711430788,0.00235748291015625,-0.005984149407595396,-0.009507404640316963,-0.009507404640316963,0.0,0.0,-0.0,0.0,0.0,0.0
1633083984.250304,0.000698920339345932,0.006959058344364166,-7.286865711212158,0.004533831030130386,-0.0005579576245509088,0.0004969998844899237,0.0,0.0,0.0,-0.0005938992253504694,-0.00663392711430788,0.00235748291015625,-0.005984149407595396,-0.009507404640316963,-0.009507404640316963,0.0,0.0,-0.0,0.0,0.0,0.0
1633083984.260732,0.000698920339345932,0.006959058344364166,-7.286865711212158,0.004533831030130386,-0.0005579576245509088,0.0004969998844899237,0.0,0.0,0.0,-0.0007563763065263629,-0.006706965155899525,0.0024018287658691406,-0.006200184114277363,-0.009304627776145935,-0.009304627776145935,0.0,0.0,-0.0,0.0,0.0,0.0
1633083984.270309,0.0009093345142900944,0.0070404005236923695,-7.286950588226318,0.0044440701603889465,-0.0007667665486223996,0.0005081353592686355,0.0,0.0,0.0,-0.0007563763065263629,-0.006706965155899525,0.0024018287658691406,-0.006200184114277363,-0.009304627776145935,-0.009304627776145935,0.0,0.0,-0.0,0.0,0.0,0.0
1633083984.280782,0.0010039272019639611,0.007078517694026232,-7.286990642547607,0.004410876426845789,-0.0008532345527783036,0.0005179444560781121,0.0,0.0,0.0,-0.0009537251899018884,-0.006779294461011887,0.002444744110107422,-0.006570390425622463,-0.009037891402840614,-0.009037891402840614,0.0,0.0,-0.0,0.0,0.0,0.0
1633083984.290161,0.0010945494286715984,0.007115162443369627,-7.287029266357422,0.004381634760648012,-0.0009333134512417018,0.0005405909614637494,0.0,0.0,0.0,-0.0009537251899018884,-0.006779294461011887,0.002444744110107422,-0.006570390425622463,-0.009037891402840614,-0.009037891402840614,0.0,0.0,-0.0,0.0,0.0,0.0
1633083984.300122,0.001201434526592493,0.007145287934690714,-7.287063121795654,0.004317144863307476,-0.0010607324074953794,0.0005996594554744661,0.0,0.0,0.0,-0.0011413571191951632,-0.006842626724392176,0.002479076385498047,-0.006876353640109301,-0.008811156265437603,-0.008811156265437603,0.0,0.0,-0.0,0.0,0.0,0.0
1633083984.310098,0.0012899560388177633,0.0071772364899516106,-7.287098407745361,0.004283228889107704,-0.0011433970648795366,0.0006403602310456336,0.0,0.0,0.0,-0.0011413571191951632,-0.006842626724392176,0.002479076385498047,-0.006876353640109301,-0.008811156265437603,-0.008811156265437603,0.0,0.0,-0.0,0.0,0.0,0.0
