current_time,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,pos_sp.x,pos_sp.y,pos_sp.z,vel_sp.x,vel_sp.y,vel_sp.z,acc_sp.x,acc_sp.y,acc_sp.y,payload_angles.x,payload_angles.y,payload_angles.z
1633077814.332373,9.933382987976074,-0.17714618146419525,-10.40635871887207,0.001430048607289791,0.00270908628590405,0.00038469527498818934,0.0,0.0,0.0,0.0,0.0,-0.0,-0.001479430589824915,-0.0014799919445067644,-0.0014799919445067644,0.0,0.0,-0.0
1633077814.333113,9.933382987976074,-0.17714618146419525,-10.40635871887207,0.001430048607289791,0.00270908628590405,0.00038469527498818934,0.0,0.0,0.0,0.0,0.0,-0.0,-0.001479430589824915,-0.0014799919445067644,-0.0014799919445067644,0.0,0.0,-0.0
1633077814.343662,9.933362007141113,-0.1771571934223175,-10.406330108642578,0.001430048607289791,0.00270908628590405,0.00038469527498818934,0.0,0.0,0.0,0.0,0.0,-0.0,-0.001479430589824915,-0.0014799919445067644,-0.0014799919445067644,0.0,0.0,-0.0
1633077814.353587,9.933362007141113,-0.1771571934223175,-10.406330108642578,0.0013939583441242576,0.0026390329003334045,0.00036389907472766936,0.0,0.0,0.0,0.0,0.0,-0.0,-0.001468495698645711,-0.0014007018180564046,-0.0014007018180564046,0.0,0.0,-0.0
1633077814.363277,9.933341979980469,-0.177167147397995,-10.406299591064453,0.0013615606585517526,0.002570661948993802,0.00033963038004003465,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0014710734831169248,-0.0012949623633176088,-0.0012949623633176088,0.0,0.0,-0.0
1633077814.373288,9.933317184448242,-0.17718663811683655,-10.406271934509277,0.0013366021448746324,0.0025182468816637993,0.0003274710616096854,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0014710734831169248,-0.0012949623633176088,-0.0012949623633176088,0.0,0.0,-0.0
1633077814.383251,9.933294296264648,-0.17720511555671692,-10.406245231628418,0.001313504995778203,0.002468068152666092,0.00031784200109541416,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0014819150092080235,-0.0012016550172120333,-0.0012016550172120333,0.0,0.0,-0.0
1633077814.393266,9.933277130126953,-0.17721228301525116,-10.406218528747559,0.0012879703426733613,0.0024064008612185717,0.00027679590857587755,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0014819150092080235,-0.0012016550172120333,-0.0012016550172120333,0.0,0.0,-0.0
1633077814.403303,9.93325424194336,-0.1772289276123047,-10.406193733215332,0.0012676920741796494,0.0023608000483363867,0.00023321756452787668,0.0,0.0,0.0,0.0,0.0,-0.0,-0.001488938694819808,-0.0011338352924212813,-0.0011338352924212813,0.0,0.0,-0.0
1633077814.413366,9.93323802947998,-0.17723463475704193,-10.406168937683105,0.0012455168180167675,0.0023056308273226023,0.00016079697525128722,0.0,0.0,0.0,0.0,0.0,-0.0,-0.001488938694819808,-0.0011338352924212813,-0.0011338352924212813,0.0,0.0,-0.0
1633077814.42345,9.933218002319336,-0.1772492527961731,-10.406146049499512,0.001227527391165495,0.002264610957354307,0.00012728446745313704,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0014897037763148546,-0.001084445626474917,-0.001084445626474917,0.0,0.0,-0.0
1633077814.433459,9.93320369720459,-0.17725366353988647,-10.406120300292969,0.0012080036103725433,0.0022154974285513163,9.053760732058436e-05,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0014897037763148546,-0.001084445626474917,-0.001084445626474917,0.0,0.0,-0.0
1633077814.443262,9.933185577392578,-0.17726625502109528,-10.406096458435059,0.0011914680944755673,0.002177868504077196,7.483323133783415e-05,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0014778310433030128,-0.0010364260524511337,-0.0010364260524511337,0.0,0.0,-0.0
1633077814.453349,9.933173179626465,-0.17726963758468628,-10.406073570251465,0.001172926858998835,0.00213219434954226,2.8427648430806585e-05,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0014778310433030128,-0.0010364260524511337,-0.0010364260524511337,0.0,0.0,-0.0
1633077814.463248,9.933161735534668,-0.17727214097976685,-10.406051635742188,0.0011544765438884497,0.002087736502289772,-3.7353056541178375e-05,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0014472188195213675,-0.0009718799847178161,-0.0009718799847178161,0.0,0.0,-0.0
1633077814.473378,9.933146476745605,-0.17728175222873688,-10.406030654907227,0.0011383019154891372,0.0020523660350590944,-7.107905548764393e-05,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0014472188195213675,-0.0009718799847178161,-0.0009718799847178161,0.0,0.0,-0.0
1633077814.483313,9.933136940002441,-0.17728348076343536,-10.406010627746582,0.001120224827900529,0.0020103787537664175,-0.00010771639790618792,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0014472188195213675,-0.0009718799847178161,-0.0009718799847178161,0.0,0.0,-0.0
1633077814.493271,9.933127403259277,-0.17728422582149506,-10.405994415283203,0.001102750189602375,0.001970414537936449,-0.0001592568150954321,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0014227537903934717,-0.0009249828872270882,-0.0009249828872270882,0.0,0.0,-0.0
1633077814.503248,9.933042526245117,-0.1773296445608139,-10.405959129333496,0.001051703467965126,0.0018840753473341465,-0.00021414816728793085,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0012324622366577387,-0.0006898996070958674,-0.0006898996070958674,0.0,0.0,-0.0
