current_time,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,pos_sp.x,pos_sp.y,pos_sp.z,vel_sp.x,vel_sp.y,vel_sp.z,acc_sp.x,acc_sp.y,acc_sp.y,payload_angles.x,payload_angles.y,payload_angles.z
1633031659.673399,0.009183183312416077,0.010070034302771091,-10.410898208618164,-0.00749188894405961,-0.0069449711591005325,0.0013650768669322133,0.0,0.0,0.0,-0.008768889121711254,-0.009489194490015507,0.0029745101928710938,-0.006417880766093731,-0.005951893515884876,-0.005951893515884876,0.0,0.0,-0.0
1633031659.675082,0.009183183312416077,0.010070034302771091,-10.410898208618164,-0.00749188894405961,-0.0069449711591005325,0.0013650768669322133,0.0,0.0,0.0,-0.008768889121711254,-0.009489194490015507,0.0029745101928710938,-0.006417880766093731,-0.005951893515884876,-0.005951893515884876,0.0,0.0,-0.0
1633031659.685186,0.009134231135249138,0.010038518346846104,-10.410921096801758,-0.007513683754950762,-0.006999261677265167,0.0013807130744680762,0.0,0.0,0.0,-0.008677544072270393,-0.009431679733097553,0.0029706954956054688,-0.0060728671960532665,-0.005587778519839048,-0.005587778519839048,0.0,0.0,-0.0
1633031659.696266,0.009113273583352566,0.010032408870756626,-10.410948753356934,-0.007521395105868578,-0.007030360866338015,0.0014036863576620817,0.0,0.0,0.0,-0.008629892952740192,-0.00941222533583641,0.0029850006103515625,-0.005960480775684118,-0.005445750430226326,-0.005445750430226326,0.0,0.0,-0.0
1633031659.705518,0.009084071964025497,0.01001802645623684,-10.41097354888916,-0.007532890886068344,-0.007067593280225992,0.0014409823343157768,0.0,0.0,0.0,-0.008629892952740192,-0.00941222533583641,0.0029850006103515625,-0.005960480775684118,-0.005445750430226326,-0.005445750430226326,0.0,0.0,-0.0
1633031659.715246,0.00906053651124239,0.010008364915847778,-10.410998344421387,-0.007541322614997625,-0.0070981536991894245,0.0014638951979577541,0.0,0.0,0.0,-0.008629892952740192,-0.00941222533583641,0.0029850006103515625,-0.005960480775684118,-0.005445750430226326,-0.005445750430226326,0.0,0.0,-0.0
1633031659.72521,0.009005140513181686,0.009968077763915062,-10.411029815673828,-0.007564467843621969,-0.007150714285671711,0.001443808083422482,0.0,0.0,0.0,-0.008554908446967602,-0.009364789351820946,0.003009796142578125,-0.005740426946431398,-0.005212806165218353,-0.005212806165218353,0.0,0.0,-0.0
1633031659.735124,0.008948265574872494,0.009925741702318192,-10.411059379577637,-0.007587626110762358,-0.007200463674962521,0.0014412831515073776,0.0,0.0,0.0,-0.00850087683647871,-0.009324578568339348,0.003025054931640625,-0.005572859197854996,-0.005060203373432159,-0.005060203373432159,0.0,0.0,-0.0
1633031659.745093,0.008889550343155861,0.009881014935672283,-10.411087036132812,-0.007610926870256662,-0.007248125970363617,0.0014714606804773211,0.0,0.0,0.0,-0.00850087683647871,-0.009324578568339348,0.003025054931640625,-0.005572859197854996,-0.005060203373432159,-0.005060203373432159,0.0,0.0,-0.0
1633031659.755158,0.008954126387834549,0.009988940320909023,-10.411127090454102,-0.007566153071820736,-0.007217876613140106,0.0015000952407717705,0.0,0.0,0.0,-0.008506444282829762,-0.009384632110595703,0.0030498504638671875,-0.005822142120450735,-0.005394717678427696,-0.005394717678427696,0.0,0.0,-0.0
1633031659.765263,0.009016109630465508,0.010092677548527718,-10.411165237426758,-0.007523517124354839,-0.007189575117081404,0.0015285941772162914,0.0,0.0,0.0,-0.008506444282829762,-0.009384632110595703,0.0030498504638671875,-0.005822142120450735,-0.005394717678427696,-0.005394717678427696,0.0,0.0,-0.0
1633031659.775222,0.009042846038937569,0.010161001235246658,-10.41119384765625,-0.007497075013816357,-0.007186712231487036,0.0015303626423701644,0.0,0.0,0.0,-0.008590728044509888,-0.009548104368150234,0.0030612945556640625,-0.0064079249277710915,-0.006100445985794067,-0.006100445985794067,0.0,0.0,-0.0
1633031659.785284,0.009096136316657066,0.010253298096358776,-10.411226272583008,-0.007458715233951807,-0.007165790069848299,0.0015370080946013331,0.0,0.0,0.0,-0.008590728044509888,-0.009548104368150234,0.0030612945556640625,-0.0064079249277710915,-0.006100445985794067,-0.006100445985794067,0.0,0.0,-0.0
1633031659.795215,0.009116383269429207,0.010312207974493504,-10.411251068115234,-0.007434960920363665,-0.007169137243181467,0.0015718775102868676,0.0,0.0,0.0,-0.008660588413476944,-0.009691765531897545,0.003078460693359375,-0.006811273284256458,-0.006563067436218262,-0.006563067436218262,0.0,0.0,-0.0
1633031659.805334,0.009162669070065022,0.010394823737442493,-10.411293029785156,-0.007399892900139093,-0.007152971811592579,0.0015985409263521433,0.0,0.0,0.0,-0.008660588413476944,-0.009691765531897545,0.003078460693359375,-0.006811273284256458,-0.006563067436218262,-0.006563067436218262,0.0,0.0,-0.0
1633031659.815425,0.009177811443805695,0.010445970110595226,-10.41132640838623,-0.007378060836344957,-0.0071580493822693825,0.0016086322721093893,0.0,0.0,0.0,-0.00871894508600235,-0.009818729013204575,0.00311279296875,-0.007112584076821804,-0.006908018607646227,-0.006908018607646227,0.0,0.0,-0.0
1633031659.82515,0.009218601509928703,0.010520539246499538,-10.411364555358887,-0.007345734629780054,-0.007142767310142517,0.001602953881956637,0.0,0.0,0.0,-0.00871894508600235,-0.009818729013204575,0.00311279296875,-0.007112584076821804,-0.006908018607646227,-0.006908018607646227,0.0,0.0,-0.0
