current_time,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,pos_sp.x,pos_sp.y,pos_sp.z,vel_sp.x,vel_sp.y,vel_sp.z,acc_sp.x,acc_sp.y,acc_sp.y,payload_angles.x,payload_angles.y,payload_angles.z,simulink_acc_sp.x,simulink_acc_sp.y,simulink_acc_sp.y
1633080148.495464,-0.0012358545791357756,0.0035685566253960133,-7.2838335037231445,0.0005401959642767906,-0.0018537819851189852,-0.004600196145474911,0.0,0.0,0.0,0.0011792751029133797,-0.0033927750773727894,-0.0045981393195688725,0.0015608564717695117,-0.0034897809382528067,-0.0034897809382528067,0.0,0.0,-0.0,0.0,0.0,0.0
1633080148.499539,-0.0012358545791357756,0.0035685566253960133,-7.2838335037231445,0.0005401959642767906,-0.0018537819851189852,-0.004600196145474911,0.0,0.0,0.0,0.0011792751029133797,-0.0033927750773727894,-0.0045981393195688725,0.0015608564717695117,-0.0034897809382528067,-0.0034897809382528067,0.0,0.0,-0.0,0.0,0.0,0.0
1633080148.51009,-0.0012302572140470147,0.003568405518308282,-7.283836364746094,0.0005362482625059783,-0.0018656536703929305,-0.004643320571631193,0.0,0.0,0.0,0.001168605056591332,-0.0033931888174265623,-0.004595278296619654,0.0015463826712220907,-0.003402089234441519,-0.003402089234441519,0.0,0.0,-0.0,0.0,0.0,0.0
1633080148.519497,-0.001223262632265687,0.0035804363433271646,-7.283811092376709,0.0005306428065523505,-0.0018770428141579032,-0.004640519618988037,0.0,0.0,0.0,0.0011619603028520942,-0.003404618240892887,-0.004620073828846216,0.001542319543659687,-0.003410383826121688,-0.003410383826121688,0.0,0.0,-0.0,0.0,0.0,0.0
1633080148.529594,-0.0012196723837405443,0.0035851129796355963,-7.283801078796387,0.0005280973855406046,-0.0018836254021152854,-0.004638292361050844,0.0,0.0,0.0,0.0011619603028520942,-0.003404618240892887,-0.004620073828846216,0.001542319543659687,-0.003410383826121688,-0.003410383826121688,0.0,0.0,-0.0,0.0,0.0,0.0
1633080148.540442,-0.001216016593389213,0.0035888785496354103,-7.283784866333008,0.0005255761207081378,-0.0018912558443844318,-0.004652291536331177,0.0,0.0,0.0,0.0011619603028520942,-0.003404618240892887,-0.004620073828846216,0.001542319543659687,-0.003410383826121688,-0.003410383826121688,0.0,0.0,-0.0,0.0,0.0,0.0
1633080148.549655,-0.0012102408800274134,0.0035842591896653175,-7.28378963470459,0.0005223267944529653,-0.001907382975332439,-0.004705592058598995,0.0,0.0,0.0,0.0011495895450934768,-0.0034082499332726,-0.00464200833812356,0.0015265453839674592,-0.0033325147815048695,-0.0033325147815048695,0.0,0.0,-0.0,0.0,0.0,0.0
1633080148.559621,-0.0012045090552419424,0.003579020267352462,-7.283796310424805,0.0005187781644053757,-0.0019257235107943416,-0.004747808910906315,0.0,0.0,0.0,0.0011441443348303437,-0.003403272945433855,-0.004635809455066919,0.0015252860030159354,-0.0032691885717213154,-0.0032691885717213154,0.0,0.0,-0.0,0.0,0.0,0.0
1633080148.569917,-0.0012045090552419424,0.003579020267352462,-7.283796310424805,0.0005187781644053757,-0.0019257235107943416,-0.004747808910906315,0.0,0.0,0.0,0.0011441443348303437,-0.003403272945433855,-0.004635809455066919,0.0015252860030159354,-0.0032691885717213154,-0.0032691885717213154,0.0,0.0,-0.0,0.0,0.0,0.0
1633080148.582012,-0.0011949142208322883,0.003573179943487048,-7.283797740936279,0.0005151998484507203,-0.0019464323995634913,-0.004778760019689798,0.0,0.0,0.0,0.0011350292479619384,-0.0033977245911955833,-0.004634855780750513,0.0015196646563708782,-0.003158304840326309,-0.003158304840326309,0.0,0.0,-0.0,0.0,0.0,0.0
1633080148.590635,-0.001189176575280726,0.0035656339023262262,-7.283810138702393,0.0005126965697854757,-0.001958829816430807,-0.004793792497366667,0.0,0.0,0.0,0.0011350292479619384,-0.0033977245911955833,-0.004634855780750513,0.0015196646563708782,-0.003158304840326309,-0.003158304840326309,0.0,0.0,-0.0,0.0,0.0,0.0
1633080148.599708,-0.001189176575280726,0.0035656339023262262,-7.283810138702393,0.0005103022558614612,-0.0019798539578914642,-0.004852242302149534,0.0,0.0,0.0,0.0011350292479619384,-0.0033977245911955833,-0.004634855780750513,0.0015196646563708782,-0.003158304840326309,-0.003158304840326309,0.0,0.0,-0.0,0.0,0.0,0.0
1633080148.611758,-0.0011794468155130744,0.0035553183406591415,-7.283815860748291,0.0005083053838461637,-0.0020138996187597513,-0.00498574785888195,0.0,0.0,0.0,0.0011239781742915511,-0.003382076509296894,-0.0046057687141001225,0.001496626646257937,-0.0030220593325793743,-0.0030220593325793743,0.0,0.0,-0.0,0.0,0.0,0.0
1633080148.620547,-0.001175596727989614,0.0035533616319298744,-7.283807277679443,0.0005083053838461637,-0.0020138996187597513,-0.00498574785888195,0.0,0.0,0.0,0.0011239781742915511,-0.003382076509296894,-0.0046057687141001225,0.001496626646257937,-0.0030220593325793743,-0.0030220593325793743,0.0,0.0,-0.0,0.0,0.0,0.0
1633080148.629847,-0.0011716119479387999,0.003550451248884201,-7.283801555633545,0.0005085999146103859,-0.00203905813395977,-0.005097685381770134,0.0,0.0,0.0,0.0011166776530444622,-0.0033788972068578005,-0.004625319037586451,0.0014609862118959427,-0.002947782166302204,-0.002947782166302204,0.0,0.0,-0.0,0.0,0.0,0.0
