current_time,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,pos_sp.x,pos_sp.y,pos_sp.z,vel_sp.x,vel_sp.y,vel_sp.z,acc_sp.x,acc_sp.y,acc_sp.y,payload_euler.x,payload_euler.y,payload_euler.z,simulink_acc_sp.x,simulink_acc_sp.y,simulink_acc_sp.y,qp_status
1633641948.922834,-0.014131434261798859,-0.009446440264582634,-2.511932373046875,0.00855573546141386,0.006315094884485006,0.007320469710975885,0.0,0.0,0.0,0.013410207815468311,0.00906351674348116,0.013109683990478516,0.009455825202167034,0.006447684019804001,0.006447684019804001,0.0005722473724745214,-0.0009407892939634621,-1.570780634880066,0.0,0.0,0.0,data: 0.0
1633641948.923932,-0.014131434261798859,-0.009446440264582634,-2.511932373046875,0.00855573546141386,0.006315094884485006,0.007320469710975885,0.0,0.0,0.0,0.013410207815468311,0.00906351674348116,0.013109683990478516,0.009455825202167034,0.006447684019804001,0.006447684019804001,0.0005722473724745214,-0.0009407892939634621,-1.570780634880066,0.0,0.0,0.0,data: 0.0
1633641948.934419,-0.014107692055404186,-0.009416435845196247,-2.5118722915649414,0.008745082654058933,0.006387082394212484,0.007339041214436293,0.0,0.0,0.0,0.013402302749454975,0.009033150039613247,0.013004302978515625,0.009020078927278519,0.006277347914874554,0.006277347914874554,0.0005814181640744209,-0.0009528199443593621,-1.5707863569259644,0.0,0.0,0.0,data: 0.0
1633641948.944307,-0.014115648344159126,-0.00941026397049427,-2.511840581893921,0.008817759342491627,0.006410496775060892,0.007358995731920004,0.0,0.0,0.0,0.013402302749454975,0.009033150039613247,0.013004302978515625,0.009020078927278519,0.006277347914874554,0.006277347914874554,0.0005853547481819987,-0.0009580201585777104,-1.5707882642745972,0.0,0.0,0.0,data: 0.0
1633641948.953982,-0.014084424823522568,-0.00937634240835905,-2.5117781162261963,0.00894575659185648,0.006458753254264593,0.007385372184216976,0.0,0.0,0.0,0.013380198739469051,0.008995063602924347,0.012899398803710938,0.008541550487279892,0.0060990420170128345,0.0060990420170128345,0.0005915321526117623,-0.0009662501979619265,-1.570791244506836,0.0,0.0,0.0,data: 0.0
1633641948.964172,-0.01408508699387312,-0.009366159327328205,-2.5117440223693848,0.009022362530231476,0.006483869627118111,0.0073903268203139305,0.0,0.0,0.0,0.013380198739469051,0.008995063602924347,0.012899398803710938,0.008541550487279892,0.0060990420170128345,0.0060990420170128345,0.0005980460555292666,-0.0009749936871230602,-1.5707939863204956,0.0,0.0,0.0,data: 0.0
1633641948.9748,-0.014075368642807007,-0.009339354932308197,-2.511671304702759,0.009180798195302486,0.006540958769619465,0.007360436953604221,0.0,0.0,0.0,0.013371596112847328,0.008959927596151829,0.012776374816894531,0.00809005182236433,0.005924158729612827,0.005924158729612827,0.0006025919574312866,-0.0009810959454625845,-1.5707957744598389,0.0,0.0,0.0,data: 0.0
1633641948.984205,-0.014075368642807007,-0.009339354932308197,-2.511671304702759,0.009180798195302486,0.006540958769619465,0.007360436953604221,0.0,0.0,0.0,0.013371596112847328,0.008959927596151829,0.012776374816894531,0.00809005182236433,0.005924158729612827,0.005924158729612827,0.0006073120748624206,-0.0009874006500467658,-1.5707974433898926,0.0,0.0,0.0,data: 0.0
1633641948.994145,-0.014030884951353073,-0.009298495948314667,-2.511606216430664,0.009308679029345512,0.006598559208214283,0.00733503233641386,0.0,0.0,0.0,0.013371596112847328,0.008959927596151829,0.012776374816894531,0.00809005182236433,0.005924158729612827,0.005924158729612827,0.0006147288368083537,-0.0009971917606890202,-1.5707998275756836,0.0,0.0,0.0,data: 0.0
1633641949.004454,-0.014019617810845375,-0.009281706064939499,-2.5115692615509033,0.009383099153637886,0.0066317180171608925,0.007321164943277836,0.0,0.0,0.0,0.01331863272935152,0.008905164897441864,0.012663125991821289,0.0076112570241093636,0.005604385863989592,0.005604385863989592,0.0006225402466952801,-0.0010073004523292184,-1.5708019733428955,0.0,0.0,0.0,data: 0.0
1633641949.015149,-0.01396709494292736,-0.009236170910298824,-2.5115017890930176,0.009504199028015137,0.006692642346024513,0.007305440492928028,0.0,0.0,0.0,0.01331863272935152,0.008905164897441864,0.012663125991821289,0.0076112570241093636,0.005604385863989592,0.005604385863989592,0.0006279526860453188,-0.0010141617385670543,-1.5708032846450806,0.0,0.0,0.0,data: 0.0
1633641949.024009,-0.01391101349145174,-0.009188614785671234,-2.5114338397979736,0.009617488831281662,0.00675240671262145,0.007294096052646637,0.0,0.0,0.0,0.013215458951890469,0.008816731162369251,0.012514114379882812,0.007032638881355524,0.0051532527431845665,0.0051532527431845665,0.0006363483262248337,-0.0010245494777336717,-1.5708048343658447,0.0,0.0,0.0,data: 0.0
1633641949.034437,-0.014058316126465797,-0.009105583652853966,-2.511451005935669,0.00960339605808258,0.006820736452937126,0.007267966400831938,0.0,0.0,0.0,0.013488314114511013,0.008659417741000652,0.012539148330688477,0.008375018835067749,0.004382253624498844,0.004382253624498844,0.0006421093712560833,-0.0010314850369468331,-1.5708059072494507,0.0,0.0,0.0,data: 0.0
1633641949.043942,-0.014198229648172855,-0.009023020043969154,-2.511465549468994,0.009589385241270065,0.006886287126690149,0.007246319204568863,0.0,0.0,0.0,0.013488314114511013,0.008659417741000652,0.012539148330688477,0.008375018835067749,0.004382253624498844,0.004382253624498844,0.0006509578670375049,-0.001041808514855802,-1.5708072185516357,0.0,0.0,0.0,data: 0.0
